_SAPPCTXT_HEADER_               002 8000 CHART RO 1404 OK 
22169                           028 "Axã de categorie (Y)"
22170                           025 "Axã de valori (X)"
22173                           117 "Categoria iniþialã nu trebuie sã fie mai micã decât 1. Valoarea va fi ajustatã corespunzãtor."
22174                           113 "Numãrul de categorii vizibile nu trebuie sã fie mai mic decât 1. Valoarea va fi ajustatã corespunzãtor."
22175                           039 "Adãugare distribuþie standard..."
22176                           042 "Formatare distribuþie standard..."
22177                           019 "Tipãrire..."
22178                           024 "Previzualizare tipãrire"
22179                           066 "Valoarea iniþialã trebuie sã fie diferitã de val.de oprire."
22180                           077 "- Click 'Da' pt. modif. toate serii de date în tipul de diagramã ales."
22181                           054 "- Click 'Nu' pt. pãstrarea tipului de diagramã curent."
22191                           029 "&Clase histogramã"
22192                           032 "Distribuþie standard:"
22193                           038 "Etichetã distribuþie standard:"
22194                           038 "Formatare distribuþie standard"
22195                           044 "Formatare etichetã distribuþie standard"
22196                           048 "Formatare etichetã distribuþie standard..."
22197                           037 "Formatare linie timp efectiv..."
22198                           033 "Formatare linie timp efectiv"
22199                           029 "Adãugare interval valorie..."
22200                           031 "Formatare suprafeþe inf. ..."
22201                           027 "Formatare suprafeþe inf."
22202                           018 "Suprafeþe sup."
22203                           020 "Suprafeþe inf."
22204                           015 "De la:"
22205                           013 "Pânã la:"
22206                           022 "Stil imagine:"
22207                           032 "Formatare domeniu semnal..."
22208                           028 "Formatare domenii semnal"
22209                           034 "Formatare etichetã indicator..."
22210                           014 "Linie"
22211                           026 "Formatare tabel..."
22212                           022 "Formatare tabel"
22213                           020 "Font titlu"
22214                           023 "Adãugare tabel..."
22215                           024 "Adãugare buton..."
22216                           027 "Formatare coloanã..."
22217                           023 "Formatare coloanã"
22218                           031 "Coloana este prea micã!"
22219                           025 "Formatare celulã..."
22220                           021 "Formatare celulã"
22221                           035 "Formatare etichete indicator..."
22222                           030 "Formatare etichetã indic."
22223                           031 "Formatare etichetã indic."
22224                           023 "Formatare buton"
22225                           027 "Formatare buton..."
22226                           036 "Afiºare valori contur bubble"
22228                           127 "Bara de timp nu poate fi creatã, pt. cã intervalul este prea mare. Dacã alegeþi Anulare, data maximã va fi redusã."
22229                           016 "Etape"
22230                           014 "Mai mult"
22231                           031 "Distribuþie standard"
22232                           019 "Subtitlu"
22233                           012 "A"
22235                           020 "Font titlu"
22236                           019 "Font celulã"
22237                           019 "Diag.cu sect.circ."
22238                           036 "Formatare unitate titlu axã..."
22239                           051 "Definiþie format de numãr este nevalabilã!"
22240                           092 "Sunt numai 10 intervale de valori permise!\nIntervale de valori suplimentare vor fi elim."
22241                           025 "Sursã de date..."
22242                           035 "Adãugare distribuþie standard"
22400                           107 "Setãrile de scalã de timp conduc la prea multe unitãþi. Aceasta va cauza eventuale redesenãri lente."
22401                           054 " Sunteþi sigur cã toate setãrile sunt corecte?"
22410                           101 "Numãrul categoriilor vizibile nu trebuie sã depãºeascã numãrul categoriilor existente."
22411                           056 " Valoarea va fi ajustatã corespunzãtor."
22420                           132 "Adãugarea valorii categoriei vizibile la categoria iniþialã duce la depãºirea numãrului de categorii."
22421                           056 " Valoarea va fi ajustatã corespunzãtor."
22430                           132 "Tip diagr. nu poate fi modif.într-o diagramã stoc. O diagr. stoc necesitã 3, 4 sau 5 serii de date pt.desenarea unui singur pct."
22431                           046 " Încercaþi una din urmãtoarele soluþii:"
22432                           070 "- Click 'OK' pt.alocarea graficului stoc la toate seriile de date."
22433                           092 " Numai o diagramã stoc va fi creatã doar dacã existã suficiente serii de date în tabel."
22434                           050 "- Click 'Anulare' pt.închiderea mesajului."
22435                           132 " Dupã aceasta, alegeþi alt tip de diagramã care poate afiºa o singurã serie de date, de exemplu un tip diagramã liniarã."
22460                           065 "Diagramele 2D ºi 3D nu pot fi combinate între ele."
22461                           132 " Modificaþi seriile de date pt.diagrama 2D astfel încât ambele diagrame sã poatã fi combinate într-o diagramã 3D?"
22462                           094 "- Click 'Da' pt. modificarea seriilor de date pt.ca sã poatã fie combinate într-o diagramã 3D."
22464                           064 "- Click 'Nu' pt. anularea combinaþiei de diagrame."
22470                           065 "Diagramele 3D ºi 2D nu pot fi combinate între ele."
22471                           132 " Modificaþi seriile de date din diagrama 3D astfel încât ambele diagrame sã fie combinate într-o diagramã 2D?"
22472                           091 "- Click 'Da' pt. modif.serii de date astfel încât ele sã fie combinate într-o diagramã 2D."
22474                           064 "- Click 'Nu' pt. anularea combinaþiei de diagrame."
22480                           060 " Diagrama nu pot fi combinatã cu alte tipuri de diagrame."
22481                           090 " Modificaþi toate seriile de date ale acestei diagrame în tipul de diagramã selectat?"
22490                           132 "Pt.a crea aceastã diagramã stoc, aranjaþi datele pe foaia dvs în aceastã ordine: preþ iniþial, preþ ridicat, preþ mic ºi preþ final."
22491                           050 " Utilizaþi termene sau nume stocuri ca etichete."
22500                           132 "Pt.a crea aceastã diagramã stoc, aranjaþi datele pe foaia dvs.în ac.ordine: volum negociat, preþ ridicat, preþ mic ºi preþ final."
22501                           050 " Utilizaþi termene sau nume stocuri ca etichete."
22510                           132 "Pt.a crea aceastã diagramã stoc, aranjaþi datele pe foaia dvs în ac.ordine: volum negociat, preþ iniþial, ridicat, mic ºi final."
22511                           050 " Utilizaþi termene sau nume stocuri ca etichete."
22550                           015 "Alb"
22551                           015 "Negru"
22552                           013 "Roºu"
22553                           016 "Galben"
22554                           015 "Verde"
22555                           014 "Cyan"
22556                           014 "Albastru"
22557                           017 "Magenta"
22600                           013 "Tot"
22601                           016 "Def.de utiliz."
22602                           016 "Numãr"
22603                           021 "Contabilitate"
22604                           014 "Datã"
22605                           014 "Orã"
22606                           017 "Procent"
22607                           018 "Fracþie"
22608                           017 "ªtiinþã"
22609                           014 "Text"
22610                           018 "Monedã"
23000                           013 "Sus"
23001                           016 "Centrare"
23002                           016 "Jos"
23003                           016 "Divizare"
23010                           014 "Stânga"
23011                           016 "Centrare"
23012                           015 "Dreapta"
23013                           016 "Divizare"
23020                           015 "Deasupra"
23021                           015 "Mai jos"
23022                           020 "Cea mai bunã lãþime"
23023                           016 "Centrare"
23024                           021 "Bazã internã"
23025                           020 "Sfârºit intern"
23026                           014 "Stânga"
23027                           015 "Mixt"
23028                           021 "SFârºit extern"
23029                           015 "Dreapta"
23030                           031 "Formatare etichetã axã..."
23031                           032 "Formatare titlu grafic..."
23032                           027 "Formatare etichetã axã"
23033                           028 "Formatare titlu grafic"
23034                           016 "Liniar"
23035                           021 "Logaritmic"
23036                           019 "Potenþial"
23037                           021 "Exponenþial"
23038                           024 "Medie variabilã"
23039                           019 "Editare text"
23040                           019 "Automat"
23041                           017 "Minim"
23042                           017 "Maxim"
23043                           016 "Def.de utiliz."
23050                           017 "Coloane"
23051                           014 "Bare"
23052                           015 "Linii"
23053                           017 "Profil"
23054                           014 "Diagr.sect.cir"
23055                           022 "XY (Împrãºtiere)"
23056                           014 "Domeniu"
23057                           018 "Structurã inelarã"
23058                           015 "Radar"
23059                           019 "Portofoliu"
23060                           015 "Stoc"
23061                           017 "Suprafaþã"
23062                           018 "Cilindru"
23063                           014 "Con"
23064                           017 "Piramidã"
23065                           019 "Reper"
23066                           015 "Etape"
23067                           019 "Histogramã"
23068                           020 "Tahometru"
23069                           018 "Quadrant"
23070                           024 "Bare multicolorate"
23090                           014 "Date"
23091                           020 "Cheie legendã"
24000                           018 "Poziþie"
24001                           015 "Valoare"
24002                           017 "Procent"
25100                           018 "Imagine 3D"
25103                           021 "Elevaþie:"
25107                           023 "Perspectivã:"
25111                           020 "Rotaþie:"
25113                           023 "Auto scalare"
25114                           027 "Axe în unghi drept"
25115                           018 "Înãlþime:"
25118                           011 "%"
25119                           018 "&Implicit"
25200                           019 "Aliniere"
25201                           024 "Aliniere text"
25202                           022 "Orizontal:"
25204                           020 "Vertical:"
25206                           020 "Poziþie:"
25208                           021 "Orientare"
25300                           014 "Axe"
25301                           022 "Axã primarã"
25302                           029 "Axã categorie (X)"
25303                           026 "Axã de valori (Y)"
25304                           027 "Axã de serii (Z)"
25305                           024 "Axã secundarã"
25306                           029 "Axã categorie (X)"
25307                           025 "Axã de valori (Y)"
25400                           019 "Aliniere"
25401                           021 "Orientare"
25500                           014 "Linie"
25501                           014 "Linie"
25502                           020 "Automat"
25503                           016 "Def.de utiliz."
25504                           017 "Stil:"
25506                           017 "Culoare:"
25508                           030 "Tip marcaj de reper major"
25509                           015 "Nimic"
25510                           016 "Interior"
25511                           017 "Exterior"
25512                           015 "Cruce"
25513                           030 "Tip marcaj de reper minor"
25514                           015 "Nimic"
25515                           016 "Interior"
25516                           017 "Exterior"
25517                           015 "Cruce"
25518                           026 "Etichete marcaj de reper"
25519                           015 "Nimic"
25520                           013 "Scãzut"
25521                           014 "Ridicat"
25522                           022 "Lângã axã"
25523                           016 "Model"
25600                           014 "Axe"
25601                           024 "Trasare serii la"
25602                           023 "Axã primarã"
25603                           025 "Axã secundarã"
25700                           019 "Barã eroare"
25701                           017 "Afiºare"
25703                           022 "Sumã eroare"
25704                           023 "Valoare fixã:"
25705                           021 "Procentaj:"
25706                           029 "Abatere standard:"
25707                           024 "Eroare standard"
25708                           017 "Personalizat:"
25711                           011 "%"
25713                           011 "+"
25715                           011 "_"
25800                           019 "Linii de grilã"
25801                           028 "Axã categorie (X)"
25802                           026 "Linii de grilã majore"
25803                           026 "Linii de grilã minore"
25804                           025 "Axã de valori (Y)"
25805                           026 "Linii de grilã majore"
25806                           026 "Linii de grilã minore"
25807                           026 "Axã de serii (Z)"
25808                           026 "Linii de grilã majore"
25809                           026 "Linii de grilã minore"
25810                           028 "Axã categorie (X)"
25811                           026 "Linii de grilã majore"
25812                           026 "Linii de grilã minore"
25813                           025 "Axã de valori (Y)"
25814                           026 "Linii de grilã majore"
25815                           026 "Linii de grilã minore"
25816                           022 "Axã primarã"
25817                           024 "Axã secundarã"
25900                           014 "Linie"
25901                           020 "Automat"
25902                           017 "Personalizare"
25903                           014 "Linie"
25904                           017 "Stil:"
25906                           017 "Culoare:"
25908                           016 "Model"
25909                           016 "Marcator"
26000                           021 "Etichete de date"
26001                           021 "Etichete de date"
26002                           015 "Nimic"
26003                           020 "Prezentare valoare"
26004                           022 "Prezentare procent"
26005                           020 "Prezentare etichetã"
26006                           032 "Prez.etichetã ºi procent"
26007                           026 "Afiº. mãrime bubble"
26009                           030 "Afiº. etichetã ºi valoare"
26010                           029 "Afiº. valoare X ºi Y"
26011                           036 "Afiº. mãrime etichetã ºi bubble"
26100                           016 "Legendã"
26101                           014 "Tip"
26103                           027 "Bubbles de referinþã"
26104                           018 "Vizibil"
26105                           024 "Mãrime maximã:"
26108                           019 "Deplasabil"
26109                           025 "Prezentare la cerere"
26200                           014 "Linie"
26201                           014 "Linie"
26202                           020 "Automat"
26203                           017 "Personalizare"
26204                           017 "Stil:"
26206                           017 "Culoare:"
26208                           017 "Nivelat"
26209                           016 "Marcator"
26210                           020 "Automat"
26211                           015 "Nimic"
26212                           017 "Personalizare"
26213                           017 "Stil:"
26215                           022 "Foreground:"
