_SAPPCTXT_HEADER_               002 8000 CHART DE 1100 OK 
18010                           024 "&Durchgestrichen"
18011                           020 "&Unterstrichen"
18012                           017 "Vorschau"
18013                           019 "Graffiti"
18600                           015 "Drucken"
18601                           017 "Drucker"
18604                           024 "Ausdrucken in &Datei"
18605                           024 "&Eigenschaften..."
18606                           021 "Druckbereich"
18607                           014 "&Alles"
18608                           022 "Seiten &von:"
18611                           014 "&bis:"
18614                           016 "Kopien"
18615                           028 "&Anzahl Kopien:"
18619                           018 "S&ortieren"
18620                           024 "&Seitenansicht"
18621                           024 "Seite ei&nrichten..."
18700                           014 "Seite"
18701                           022 "Pa&piergröße:"
18703                           025 "&Druckqualität:"
18705                           021 "Ausrichtung"
18706                           019 "&Vertikal"
18707                           021 "&Horizontal"
18708                           016 "Zentrierung"
18709                           023 "Hori&zontal"
18710                           021 "Verti&kal"
18800                           022 "Seitenränder"
18801                           016 "Ränder"
18802                           016 "&Links:"
18805                           017 "&Rechts:"
18808                           015 "&Oben:"
18811                           018 "&Unten:"
18814                           017 "Abstände"
18815                           018 "&Kopfzeile:"
18818                           018 "&Fußzeile:"
18821                           017 "Vorschau"
18900                           017 "Optionen"
18901                           017 "Skalierung"
18902                           017 "&Skalieren:"
18905                           018 "&Anpassen an:"
18908                           017 "Seite(n)"
18909                           019 "&Vertikal"
18910                           021 "&Horizontal"
18911                           021 "&Optionen..."
19000                           015 "Drucken"
20000                           029 "%ld d, %ld h, %ld m"
20001                           022 "%ld h, %ld m"
20002                           014 "THM,"
20017                           114 "Die Seitenränder des Druckers sind größer als die der Seite.\nSollen die Seitenränder der Seite angepasst werden?"
20018                           056 "Sie müssen einen Drucker auswählen, um drucken zu können"
20019                           020 "Seite einrichten"
20020                           014 "Auto"
20023                           041 "Zu wenige Ressourcen verfügbar"
20024                           029 "Fehler beim Sichern"
20025                           030 "Fehler beim Laden"
20026                           017 "&Farbe:"
20027                           022 "&Vordergrund:"
20028                           022 "&Hintergrund:"
20029                           023 "Schraffur&farbe:"
20030                           016 "&Von:"
20031                           014 "&Bis:"
20032                           019 "&Muster:"
20033                           017 "&Schraffur:"
20034                           020 "&Verlauf:"
20064                           019 "&Drucken..."
20066                           024 "&Seiteneinrichtung..."
20072                           030 "&Seitenansicht schließen"
20087                           017 "Unbekannt"
20088                           014 "Dünn"
20089                           021 "Extraleicht"
20090                           015 "Leicht"
20091                           017 "Regulär"
20092                           016 "Mittel"
20093                           018 "Halbfett"
20094                           014 "Fett"
20095                           020 "Extrafett"
20096                           015 "Schwer"
20097                           021 "Extraschwer"
20098                           017 "Kursiv"
20099                           017 "Unbekannt"
20105                           019 "Unterstrichen"
20108                           022 "AaBbCcDdYyZz"
20109                           016 "Objekt"
20110                           017 "Objekte"
20111                           033 "Datei konnte nicht gelesen werden"
20112                           081 "Der Speicherplatz reicht nicht aus. Schließen Sie eine oder mehrere Anwendungen"
20113                           044 "Ausgewählter Stil existiert nicht"
20114                           058 "Die Größe der Schriftart muss zwischen 1 und 1635 liegen"
20115                           089 "Ausgewählte Schriftart im System nicht verfügbar. Möchten Sie sie dennoch verwenden?"
20119                           020 "&Objekt..."
20128                           057 "Der Zoomfaktor muss zwischen 25 % und 400 % liegen"
20141                           055 "Geben Sie einen Wert größer oder gleich 0 ein"
20142                           055 "Geben Sie einen Wert größer oder gleich 1 ein"
20145                           079 "Anzahl der anzupassenden Seiten muss zwischen 1 und 100 liegen"
20147                           014 "Hoch"
20148                           016 "Mittel"
20149                           013 "Niedrig"
20150                           016 "Entwurf"
20154                           023 "Legende formatieren"
20162                           091 "Kein Drucker installiert oder kein Drucker als Standarddrucker definiert."
22000                           031 "Diagrammfläche &formatieren..."
22001                           024 "Diagramm&typ..."
22002                           025 "&Datenquelle..."
22003                           027 "Diagramm-&Optionen..."
22004                           021 "Zeichn.fläche format."
22005                           020 "Chart-Typ"
22006                           023 "Diagramm-Optionen"
22007                           032 "Datenreihe &formatieren"
22008                           017 "&Löschen"
22009                           028 "Datenreihe formatieren"
22010                           019 "Über&lappung:"
22011                           014 "Rückgängig"
22012                           027 "&Verbindungslinien"
22014                           030 "&Größe der 2. Zeichnungsfläche"
22015                           021 "&Fall-Linien"
22018                           032 "&Winkel des ersten Segments:"
22020                           030 "&Innenringgröße:"
22021                           012 "KW"
22022                           032 "&Negative Blasen anzeigen"
22023                           033 "Blasengröße anpassen an:"
22024                           022 "% des Standards"
22025                           031 "Datenpunkt &formatieren..."
22026                           027 "Datenpunkt formatieren"
22027                           032 "Datenbeschriftng &formatieren..."
22028                           028 "Datenbeschriftng formatieren"
22029                           031 "Datenbeschriftg &formatieren..."
22030                           027 "Datenbeschriftg formatieren"
22031                           018 "Standard"
22032                           025 "Achse &formatieren..."
22033                           021 "Achse formatieren"
22034                           060 "Mindestwert muss größer null sein"
22035                           055 "Das Minimum muss kleiner als das Maximum sein"
22036                           031 "Gitterlinien &formatieren"
22037                           026 "Gitterlinien formatieren"
22038                           027 "Fall-Linien formatieren"
22039                           031 "Fall-Linien &formatieren"
22040                           029 "Reihenlinien formatieren"
22041                           033 "Reihenlinien &formatieren..."
22042                           027 "Legendensymbol formatieren"
22043                           029 "Legendenindex formatieren"
22044                           031 "Legendensymbol &formatieren..."
22045                           033 "Legendenindex &formatieren"
22046                           028 "&Legende formatieren"
22047                           026 "Diagramm &formatieren..."
22048                           022 "X-Fehlerbalken"
22049                           022 "Y-Fehlerbalken"
22050                           031 "Fehlerbalken &formatieren"
22051                           027 "Fehlerbalken formatieren"
22052                           021 "Datenquelle"
22053                           021 "Datenreihe"
22054                           018 "&Werte:"
22055                           022 "&X - Werte:"
22056                           028 "Ungültige Referenz"
22057                           035 "Spannweitenlinien &formatieren"
22058                           031 "Spannweitenlinien formatieren"
22059                           017 "&Ende"
22060                           022 "Diagramm-Assistent"
22061                           028 "Positivbalk. &formatieren..."
22062                           024 "Positivbalken formatier."
22063                           030 "Negativbalken &formatieren..."
22064                           026 "Negativbalken formatieren"
22065                           049 "&Zweites Zeichnungselement enthält die letzten:"
22066                           016 "Werte"
22067                           056 "&Zweite Zeichnungsfläche enthält alle Werte kleiner als:"
22068                           056 "&Zweite Zeichnungsfläche enthält alle Werte kleiner als:"
22069                           057 "Verschieben Sie Segmente zwischen Kreisen mit der Maus"
22070                           065 "Diagramm f. Höchst-/Tiefst-/Schlusskurse muss 3 Datenreihen enth."
22074                           036 "Diagrammtyp nicht anwendbar"
22075                           026 "&Wert ändern..."
22076                           032 "Wertebereich &formatieren..."
22077                           028 "Wertebereich formatieren"
22078                           027 "Diagrammfläche formatieren"
22079                           094 "Der Abstand muss zwischen 0 und 500 liegen. Geben Sie einen Wert aus diesem Bereich ein"
22080                           111 "Der Winkel des ersten Segments muss zwischen 0 und 360 liegen. Geben Sie einen Winkel aus diesem Bereich ein"
22081                           104 "Die Innenringgröße muss zwischen 10 und 90 liegen. Geben Sie einen entsprechenden Wert ein"
22082                           096 "Die Überlappung muss zwischen -100 und 100 liegen. Geben Sie einen Wert aus diesem Bereich ein"
22083                           094 "Der Abstand muss zwischen 0 und 200 liegen. Geben Sie einen Wert aus diesem Bereich ein"
22084                           114 "Die Größe der zweiten Zeichnungsfläche muss zwischen 5 und 200 liegen. Geben Sie einen Wert aus diesem Bereich ein"
22085                           095 "Die Zahl muss zwischen 1 und 31999 liegen. Geben Sie eine Zahl aus diesem Bereich ein"
22086                           020 "&Abstand:"
22088                           016 "Linear"
22089                           021 "Logarithmisch"
22090                           014 "Uhrzeit"
22091                           014 "Keines"
22092                           031 "&Zeitskalenachse zoomen"
22093                           030 "Zeichnungsfläche &formatieren"
22094                           016 "Formatieren"
22095                           055 "Größe der Markierungen muss größer null sein"
22096                           047 "Das Hauptintervall muss größer null sein"
22097                           047 "Das Hilfsintervall muss größer null sein"
22098                           024 "Ungültiger Wert"
22099                           029 "Positivber. &formatieren..."
22100                           017 "Minimum"
22101                           017 "Maximum"
22102                           017 "Optimum"
22103                           018 "Position"
22104                           034 "Wertebereichstitel formatieren"
22105                           038 "Wertebereichstitel &formatieren..."
22106                           027 "&Radarachsenbeschriftung"
22107                           016 "X-Achse"
22108                           016 "Y-Achse"
22109                           016 "Z-Achse"
22110                           014 "Raster"
22111                           019 "Zeichnungsfläche"
22112                           027 "Titel des Wertebereichs"
22113                           021 "Wertebereich"
22114                           019 "Negativbalken"
22115                           017 "Positivbalken"
22116                           024 "Spannweitenlinien"
22117                           020 "Fehlerbalken"
22118                           022 "Reihenlinien"
22119                           020 "Fall-Linien"
22120                           017 "Reihe:"
22121                           019 "&Textur:"
22122                           017 "Beschriftung:"
22123                           034 "Tortenstücke ändern"
22124                           027 "&Trendlinie hinzufügen..."
22125                           030 "Trendlinie &formatieren..."
22126                           026 "Trendlinie formatieren"
22127                           036 "Trendlinienbeschrif. &formatieren..."
22128                           032 "Trendlinienbeschriftung format."
22129                           020 "Trendlinie"
22130                           025 "Trendlinienbeschriftung"
22131                           022 "3D-&Ansicht..."
22132                           049 "Die Drehung muss zwischen 0 und 360 Grad liegen"
22133                           048 "Die Höhe muss zwischen -90 und 90 liegen"
22134                           052 "Die Perspektive muss zwischen 0 und 100 liegen"
22135                           024 "R&eihenachse (Z):"
22136                           026 "&Größenachse (Y):"
22138                           022 "Boden formatieren"
22139                           026 "Boden &formatieren..."
22140                           022 "Wände formatieren"
22141                           026 "Wände &formatieren"
22142                           015 "&Kopieren"
22143                           021 "&Zwischenraum:"
22144                           025 "&Datenquelle..."
22145                           025 "Positivber. formatieren"
22146                           030 "Als &Vorlage sichern..."
22147                           060 "Diagrammdateien (*.icc)|*.icc|Alle Dateien (*.*) | *.* ||"
22148                           026 "Als Vorlage sichern"
22149                           089 "Die Gesamtgröße der Zeitachse ist zu groß. Sie wird automatisch angepasst"
22151                           027 "Vorlage &laden..."
22152                           043 "Größenachse (X) schneidet bei Höchstwert"
22153                           023 "Vorlage laden"
22154                           036 "Größenachse (X) schneidet bei:"
22155                           043 "Größenachse (Y) schneidet bei Höchstwert"
22156                           032 "Größenachse (Y) schneidet bei:"
22157                           116 "Anzahl der Perioden beim gleitenden Durchschnitt muss mindestens 2 und kleiner als die Anzahl der Datenpunkte sein"
22158                           080 "Die Werte für den Trend vorwärts oder rückwärts müssen größer 0 sein"
22159                           021 "Netzachsenbeschriftng"
22160                           032 "Netzachsenbeschriftg. &format..."
22161                           028 "Netzachsenbeschrftg. format."
22162                           048 "Die Höhe muss zwischen -45 und 45 liegen"
22163                           047 "Die Höhe muss zwischen 10 und 90 liegen"
22164                           018 "3D-Ansicht"
22165                           051 "Die Tagesbreite muss größer 0 sein"
22166                           027 "Datentabelle formatieren"
22167                           031 "Datentabelle &formatieren..."
22168                           020 "Datentabelle"
22169                           028 "&Achse für Kategorie (Y)"
22170                           025 "&Achse für Wert (X)"
22173                           117 "Die Rubrik, ab der gestartet werden soll, darf 1 nicht unterschreiten.\nDer Wert wird entsprechend angepasst"
22174                           113 "Die Anzahl der sichtbaren Rubriken darf 1 nicht unterschreiten.\nDer Wert wird entsprechend angepasst"
22175                           039 "Normalverteilung &hinzufügen..."
22176                           042 "Normalverteilung &formatieren..."
22177                           019 "&Drucken..."
22178                           024 "Druck&vorschau"
22179                           066 "Der Startwert muss ungleich dem Stopwert sein"
22180                           077 "- 'Ja', um alle Datenreihen in den gewählten Diagrammtyp umzuwandeln"
22181                           054 "- 'Nein', um den aktuellen Diagrammtyp beizubehalten"
22191                           029 "&Histogramm-Klassen"
22192                           032 "Normalverteilung:"
22193                           038 "Normalverteilungsbeschriftung:"
22194                           038 "Normalverteilung formatieren"
22195                           044 "Normalverteilungsbeschriftung formatieren"
22196                           048 "Normalverteilungsbeschriftung &formatieren..."
22197                           037 "Aktuelle Zeitlinie &formatieren..."
22198                           033 "Aktuelle Zeitlinie formatieren"
22199                           029 "&Wertebereich hinzufügen..."
22200                           031 "Negativbereiche &formatieren"
22201                           027 "Negativbereiche formatieren"
22202                           018 "Positivbereiche"
22203                           020 "Negativbereiche"
22204                           015 "Von:"
22205                           013 "Bis:"
22206                           022 "Bildstil:"
22207                           032 "Signalbereich &formatieren..."
22208                           028 "Signalbereich formatieren"
22209                           034 "&Zeigerbeschriftung formatieren..."
22210                           014 "Linie"
22211                           026 "Tabelle &formatieren..."
22212                           022 "Tabelle formatieren"
22213                           020 "Titelschriftart"
22214                           023 "Tabelle &hinzufügen..."
22215                           024 "Drucktaste &hinzufügen.."
22216                           027 "Spalte &formatieren..."
22217                           023 "Spalte formatieren"
22218                           031 "Spaltenbreite zu gering"
22219                           025 "Zelle &formatieren..."
22220                           021 "Zelle formatieren"
22221                           035 "&Zeigerbeschriftungen formatieren.."
22222                           030 "Zeigerbeschriftung formatieren"
22223                           031 "Zeigerbeschriftungen format."
22224                           023 "Drucktaste formatieren"
22225                           027 "Drucktaste &formatieren..."
22226                           036 "Kreislinienbreiten an&zeigen"
22228                           127 "Zeitbalken kann nicht erstellt werden, da Intervall zu groß. Wenn Sie Abbrechen wählen, wird das höchste Datum zurückgesetzt."
22229                           016 "S&tufen"
22230                           014 "Mehr"
22231                           031 "Normalverteilung"
22232                           019 "Untertitel"
22233                           012 "Ein"
22235                           020 "Titelschriftart"
22236                           019 "Zellenschrift"
22237                           019 "Kreisdiagramm"
22238                           036 "Achsentiteleinheit &formatieren"
22239                           051 "Zahlenformat ungültig"
22240                           092 "Es sind maximal 10 Wertebereiche zugelassen !\nWeitere Wertebereiche werden entfernt"
22241                           025 "&Datenquelle..."
22242                           035 "Normalverteilung hinzufügen"
22400                           107 "Anzahl der Einheiten aufgrund der aktuellen Zeitskala-Einstellungen zu groß. Kann Performance mindern."
22401                           054 "Sind Sie sicher, dass alle Einstellungen korrekt sind?"
22410                           101 "Die Anzahl der sichtbaren Kategorien darf die Anzahl der vorhandenen Kategorien nicht übersteigen."
22411                           056 "Der Wert wird entsprechend angepasst"
22420                           132 "Die Summe der Werte der sichtbaren Kategorien und der Kategorie, von der gestartet werden soll, übersteigt die Anzahl der Kategorien"
22421                           056 "Der Wert wird entsprechend angepasst"
22430                           132 "Diagrammtyp kann nicht in Aktiendiagramm geändert werden, da ein Aktiendiagramm 3, 4 oder 5 Datenreihen für einen Punkt benötigt."
22431                           046 "Probieren Sie eine der folgenden Lösungen:"
22432                           070 "Wählen Sie 'OK', um das Aktiendiagramm allen Datenreihen zuzuordnen."
22433                           092 "Ein Aktiendiagramm wird nur angelegt, wenn die Tabelle genügend Datenreihen enthält"
22434                           050 "Wählen Sie zum Schließen der Meldung 'Abbrechen'."
22435                           132 "Wählen Sie danach einen anderen Diagrammtyp, der eine einzelne Datenreihe anzeigen kann, wie ein Liniendiagramm"
22460                           065 "2D- und 3D-Diagramme können nicht miteinander kombiniert werden."
22461                           132 "Sollen die Datenreihen des 2D-Diagramms so geändert werden, dass beide Diagramme in einem 3D-Diagramm kombiniert werden können?"
22462                           094 "- 'Ja', um die Datenreihen zu ändern, damit sie in einem 3D-Diagramm verbunden werden können"
22464                           064 "-'Nein', um das Verbinden der Diagramme abzubrechen"
22470                           065 "3D- und 2D-Diagramme können nicht miteinander kombiniert werden."
22471                           132 "Sollen die Datenreihen des 3D-Diagramms so geändert werden, dass beide Diagramme in einem 2D-Diagramm kombiniert werden können?"
22472                           091 "- 'Ja', um die Datenreihen zu ändern, damit sie in einem 2D-Diagramm verbunden werden könn."
22474                           064 "- 'Nein', um das Verbinden der Diagramme abzubrechen"
22480                           060 "Diagramm nicht mit anderen Diagrammtypen kombinierbar"
22481                           090 "Sollen die Datenreihen dieses Diagramm in den ausgewählten Diagrammtyp geändert werden?"
22490                           132 "Um dieses Aktiendiagramm anzulegen, bringen Sie die Daten in folgende Reihenfolge: Eröffnungs-/Höchst-/Tiefst-/Schlusskurs."
22491                           050 "Daten oder Aktiennamen als Beschriftung verwenden"
22500                           132 "Um dieses Aktiendiagramm anzulegen, bringen Sie die Daten in folgende Reihenfolge: Gehandeltes Volumen, Höchst-/Tiefst-/Schlusskurs."
22501                           050 "Daten oder Aktiennamen als Beschriftung verwenden"
22510                           132 "Um dieses Aktiendiagramm anzulegen, verwenden Sie diese Reihenfolge: Gehandeltes Volumen, Eröffnungs-/Höchst-/Tiefst-/Schlusskurs."
22511                           050 "Daten oder Aktiennamen als Beschriftung verwenden"
22550                           015 "Weiß"
22551                           015 "Schwarz"
22552                           013 "Rot"
22553                           016 "Gelb"
22554                           015 "Grün"
22555                           014 "Cyan"
22556                           014 "Blau"
22557                           017 "Magenta"
22600                           013 "Alle"
22601                           016 "Kundendefiniert"
22602                           016 "Zahl"
22603                           021 "Buchhaltung"
22604                           014 "Datum"
22605                           014 "Uhrzeit"
22606                           017 "Prozent"
22607                           018 "Bruch"
22608                           017 "Wissenschaft"
22609                           014 "Text"
22610                           018 "Währung"
23000                           013 "Oben"
23001                           016 "Mitte"
23002                           016 "Unten"
23003                           016 "Aufteilen"
23010                           014 "Links"
23011                           016 "Mitte"
23012                           015 "Rechts"
23013                           016 "Aufteilen"
23020                           015 "Über"
23021                           015 "Unter"
23022                           020 "Optimale Breite"
23023                           016 "Mitte"
23024                           021 "Basis innerhalb"
23025                           020 "Ende innerhalb"
23026                           014 "Links"
23027                           015 "Gemischt"
23028                           021 "Ende außerhalb"
23029                           015 "Rechts"
23030                           031 "Achsenbeschrif. &formatieren..."
23031                           032 "Diagrammtitel &formatieren..."
23032                           027 "Achsenbeschrif. formatieren"
23033                           028 "Diagrammtitel formatieren"
23034                           016 "Linear"
23035                           021 "Logarithmisch"
23036                           019 "Potentiell"
23037                           021 "Exponentiell"
23038                           024 "Gleitender Durchschnitt"
23039                           019 "Text bearbeiten"
23040                           019 "Automatisch"
23041                           017 "Minimum"
23042                           017 "Maximum"
23043                           016 "Benutzerdefin."
23050                           017 "Säulen"
23051                           014 "Balken"
23052                           015 "Linien"
23053                           017 "Profil"
23054                           014 "Torten"
23055                           022 "XY (Streuen)"
23056                           014 "Fläche"
23057                           018 "Ring"
23058                           015 "Radar"
23059                           019 "Portfolio:"
23060                           015 "Kurs"
23061                           017 "Flächen"
23062                           018 "Zylinder"
23063                           014 "Kegel"
23064                           017 "Pyramide"
23065                           019 "Meilenstein"
23066                           015 "Stufen"
23067                           019 "Histogramm"
23068                           020 "Tachometer"
23069                           018 "Quadrant"
23070                           024 "Vierfarbbalken"
23090                           014 "Daten"
23091                           020 "Legendensymbol"
24000                           018 "Position"
24001                           015 "Wert"
24002                           017 "Prozent"
25100                           018 "3D-Ansicht"
25103                           021 "&Betrachtungshöhe:"
25107                           023 "&Perspektive:"
25111                           020 "&Drehung:"
25113                           023 "&Autoskalieren"
25114                           027 "&Rechtwinklige Achsen"
25115                           018 "&Höhe:"
25118                           011 "%"
25119                           018 "&Standard"
25200                           019 "Ausrichtung"
25201                           024 "Textausrichtung"
25202                           022 "&Horizontal:"
25204                           020 "&Vertikal:"
25206                           020 "&Position:"
25208                           021 "Ausrichtung"
25300                           014 "Achsen"
25301                           022 "Primärachse"
25302                           029 "&Rubrikenachse (X)"
25303                           026 "&Größenachse (Y)"
25304                           027 "Re&ihenachse (Z)"
25305                           024 "Sekundärachse"
25306                           029 "R&ubrikenachse (X)"
25307                           025 "Größ&enachse (Y)"
25400                           019 "Ausrichtung"
25401                           021 "Ausrichtung"
25500                           014 "Linie"
25501                           014 "Linie"
25502                           020 "&Automatisch"
25503                           016 "Benutzerdefin."
25504                           017 "A&rt:"
25506                           017 "Far&be:"
25508                           030 "Hauptteilstrichart"
25509                           015 "&Ohne"
25510                           016 "Innen"
25511                           017 "Außen"
25512                           015 "Quer"
25513                           030 "Hilfsteilstrichart"
25514                           015 "O&hne"
25515                           016 "Innen"
25516                           017 "Außen"
25517                           015 "Quer"
25518                           026 "Teilstrichbeschriftungen"
25519                           015 "Oh&ne"
25520                           013 "Tief"
25521                           014 "Hoch"
25522                           022 "Achsennah"
25523                           016 "Vorschau"
25600                           014 "Achsen"
25601                           024 "Dat.reihe bez. sich auf"
25602                           023 "&Primärachse"
25603                           025 "&Sekundärachse"
25700                           019 "Fehlerindikator"
25701                           017 "Anzeigen"
25703                           022 "Fehlerbetrag"
25704                           023 "&Konstanter Wert:"
25705                           021 "Prozentualer Wert:"
25706                           029 "Standardabweichung:"
25707                           024 "Standardfehler:"
25708                           017 "Anpassen:"
25711                           011 "%"
25713                           011 "+"
25715                           011 "_"
25800                           019 "Gitterlinien"
25801                           028 "Rubrikenachse (X)"
25802                           026 "&Hauptgitternetz"
25803                           026 "H&ilfsgitternetz"
25804                           025 "Größenachse (Y)"
25805                           026 "H&auptgitternetz"
25806                           026 "Hi&lfsgitternetz"
25807                           026 "Reihenachse (Z)"
25808                           026 "Haup&tgitternetz"
25809                           026 "Hilfsgitte&rnetz"
25810                           028 "Rubrikenachse (X)"
25811                           026 "&Hauptgitternetz"
25812                           026 "H&ilfsgitternetz"
25813                           025 "Größenachse (Y)"
25814                           026 "H&auptgitternetz"
25815                           026 "Hi&lfsgitternetz"
25816                           022 "Primärachse"
25817                           024 "Sekundärachse"
25900                           014 "Linie"
25901                           020 "&Automatisch"
25902                           017 "&Benutzerdefin."
25903                           014 "Linie"
25904                           017 "A&rt:"
25906                           017 "&Farbe:"
25908                           016 "Vorschau"
25909                           016 "Stützstelle"
26000                           021 "Datenbeschriftungen"
