_SAPPCTXT_HEADER_               002 8000 CHART FI 1100 OK 
4262                            017 "Tunti(a)...."
4263                            019 "Minuutti/minuutit"
4264                            019 "Sekunti/sekunnit"
4265                            022 "Tyˆaika"
4270                            014 "Nelj."
4271                            014 "Viikko"
4400                            019 "Valinta"
4402                            014 "Ilman"
4403                            014 "Teksti"
4404                            016 "Lineaarinen"
4405                            021 "Logaritminen"
4406                            019 "Potentiaal."
4407                            021 "Eksponentiaal."
4408                            016 "Liukuva"
4409                            017 "Keskiarvo"
4415                            021 "Alkuper‰inen koko"
4416                            015 "P‰‰llystetty"
4417                            024 "Mukauta"
4418                            018 "Sovita suhteell."
4419                            018 "T‰yt‰ suhteell."
10012                           015 " pvm:"
10013                           027 "A4 (210 * 297 mm)"
10014                           032 "Letter (8,5 * 11 tuumaa)"
10015                           031 "Legal (8,5 * 14 tuumaa)"
10016                           016 "Normaali"
10017                           027 "Sivu %ld tulostetaan"
10018                           020 "%s alk."
10019                           054 "Tulostettaessa ilmaantui yleinen virhe"
10020                           070 "Kiintolevyll‰ ei ole tarpeeksi muistitilaa tulostettaessa"
10021                           055 "Kiintolevyll‰ ei ole tarpeeksi muistitilaa"
10022                           097 "Tulostinta ei ole asennettu. Asenna tulostin ja toista tulostustoiminto"
10023                           028 "\t&[view]\t&[date]"
10024                           024 "\tsivu &[page]"
10027                           098 "Siirretty kirjoitin tai kirjoitinliittym‰ on virheellinen. K‰ytet‰‰n vakiokirjoitinta"
12000                           016 "Maanantai"
12001                           017 "Tiistai"
12002                           019 "Keskiviikko"
12003                           018 "Torstai"
12004                           016 "Perjantai"
12005                           018 "Lauantai"
12006                           016 "Sunnuntai"
12007                           017 "Viikonp‰iv‰"
12008                           019 "Viikonloput"
12009                           018 "Juhlap‰iv‰t"
12010                           018 "Lomap‰iv‰t"
12011                           025 "Poissaolop‰iv‰t"
12321                           015 "Hyv‰ksy"
15000                           016 "Kumoa"
15001                           019 "\t CTRL+Z"
15002                           014 "Siirr‰"
15004                           021 "Muuta kokoa"
15007                           023 "Ei k‰ytett‰viss‰"
18000                           014 "Kirjasin"
18001                           016 "Kirjasinlaji:"
18003                           022 "Tyyli:"
18005                           016 "Koko"
18007                           017 "V‰ri:"
18009                           017 "Tehosteet"
18010                           024 "Yliviivattu"
18011                           020 "Alleviivattu"
18012                           017 "Esikatselu"
18013                           019 "Graffiti"
18600                           015 "Tulosta"
18601                           017 "Kirjoitin"
18604                           024 "Tulosta tiedostoon"
18605                           024 "Ominaisuudet..."
18606                           021 "Tulostusalue"
18607                           014 "Kaikki"
18608                           022 "Sivut - alku:"
18611                           014 "loppu:"
18614                           016 "Kopiot"
18615                           028 "Kopioiden lkm:"
18619                           018 "Lajittele"
18620                           024 "Sivun‰kym‰"
18621                           024 "Aseta sivu..."
18700                           014 "Sivu"
18701                           022 "Paperikoko:"
18703                           025 "Tulostuslaatu:"
18705                           021 "Tasaus"
18706                           019 "Pystysuora"
18707                           021 "Vaakasuora"
18708                           016 "Keskitys"
18709                           023 "Vaakasuora"
18710                           021 "Pystysuora"
18800                           022 "Reunukset"
18801                           016 "Reunat"
18802                           016 "Vasen:"
18805                           017 "Oikea:"
18808                           015 "Ylh‰‰ll‰:"
18811                           018 "Alhaalla:"
18814                           017 "V‰lit"
18815                           018 "Yl‰tunnisterivi:"
18818                           018 "Alatunnisterivi:"
18821                           017 "Esikatselu"
18900                           017 "Vaihtoehdot"
18901                           017 "Skaalaus"
18902                           017 "Skaalaus:"
18905                           018 "Sovita seuraavaan:"
18908                           017 "Sivu(t)"
18909                           019 "Pystysuora"
18910                           021 "Vaakasuora"
18911                           021 "&Vaihtoehdot..."
19000                           015 "Tulosta"
20000                           029 "%ld d, %ld h, %ld m"
20001                           022 "%ld h, %ld m"
20002                           014 "THM,"
20017                           114 "Kirjoittimen sivun reunat ovat suurempia kuin sivun reunat.\nSovitetaanko sivun reunat sivuun?"
20018                           056 "Valitse kirjoitin, jos haluat tulostaa"
20019                           020 "Aseta sivu"
20020                           014 "Autom."
20023                           041 "Liian v‰h‰n resursseja k‰ytett‰viss‰"
20024                           029 "Tallennusvirhe"
20025                           030 "Virhe latauksessa"
20026                           017 "V‰ri:"
20027                           022 "Edusta:"
20028                           022 "Tausta:"
20029                           023 "Varjostusv‰ri:"
20030                           016 "Alku:"
20031                           014 "Loppu:"
20032                           019 "Malli:"
20033                           017 "Varjostus:"
20034                           020 "V‰riaste:"
20064                           019 "Tulosta..."
20066                           024 "Sivuasetus..."
20072                           030 "Sulje sivun‰kym‰"
20087                           017 "Tuntematon"
20088                           014 "Ohut"
20089                           021 "Extrakevyt"
20090                           015 "Kevyt"
20091                           017 "Tavallinen"
20092                           016 "Keskiarvo"
20093                           018 "Puolilihavointi"
20094                           014 "Lihavointi"
20095                           020 "Ekstralihavointi"
20096                           015 "Raskas"
20097                           021 "Ekstraraskas"
20098                           017 "Kursivointi"
20099                           017 "Tuntematon"
20105                           019 "Alleviivattu"
20108                           022 "AaBbCcDdYyZz"
20109                           016 "Objekti"
20110                           017 "Objektit"
20111                           033 "Tiedostoa ei voitu lukea"
20112                           081 "Muistitila ei riit‰. Sulje v‰hint‰‰n yksi sovellus"
20113                           044 "Valittua tyyli‰ ei ole olemassa"
20114                           058 "Kirjasinlajin koon t‰ytyy olla 1 - 1635"
20115                           089 "Valittu kirjasinlaji ei k‰ytˆss‰ j‰rjestelm‰ss‰. Haluatko silti k‰ytt‰‰ sit‰?"
20119                           020 "Objekti..."
20128                           057 "Zoomauskertoimen t‰ytyy olla 25 % - 400 %"
20141                           055 "Syˆt‰ arvo, joka on suurempi tai yht‰ suuri kuin 0"
20142                           055 "Syˆt‰ arvo, joka on suurempi tai yht‰ suuri kuin 1"
20145                           079 "Mukautettavien sivujen lukum‰‰r‰n t‰ytyy olla 1 - 100"
20147                           014 "Korkea"
20148                           016 "Keskiarvo"
20149                           013 "Matala"
20150                           016 "Luonnos"
20154                           023 "Muotoile selitys"
20162                           091 "Kirjoitinta ei ole asennettu tai vakiokirjoitinta ei ole m‰‰ritetty."
22000                           031 "Muotoile kaavioalue..."
22001                           024 "Kaaviotyyppi..."
22002                           025 "Tietol‰hde..."
22003                           027 "Kaaviovaihtoehdot..."
22004                           021 "Muotoile piirtoalue"
22005                           020 "Kaaviotyyppi"
22006                           023 "Kaaviovaihtoehdot"
22007                           032 "Muotoile arvosarja"
22008                           017 "Poista"
22009                           028 "Muotoile arvosarja"
22010                           019 "Limitys:"
22011                           014 "Kumoa"
22012                           027 "Yhteysviivat"
22014                           030 "Toisen piirtoalueen koko"
22015                           021 "Viiteviivat"
22018                           032 "Ensimm‰isen segmentin kulma:"
22020                           030 "Sis‰renkaan koko:"
22021                           012 "EV"
22022                           032 "N‰yt‰ negatiiviset kuplat"
22023                           033 "Mukauta kuplan koko:"
22024                           022 "% vakiosta"
22025                           031 "Muotoile datapiste..."
22026                           027 "Muotoile datapiste"
22027                           032 "Muotoile arvopisteen selite..."
22028                           028 "Muotoile arvopisteen selite"
22029                           031 "Muotoile arvopisteen selite..."
22030                           027 "Muotoile arvopisteen selite"
22031                           018 "Vakio"
22032                           025 "Muotoile akseli..."
22033                           021 "Muotoile akseli"
22034                           060 "Minimiarvon t‰ytyy olla suurempi kuin nolla"
22035                           055 "Minimin t‰ytyy olla pienempi kuin maksimi"
22036                           031 "Muotoile ruudukkoviivat"
22037                           026 "Muotoile ruudukkoviivat"
22038                           027 "Muotoile viiteviivat"
22039                           031 "Muotoile viiteviivat"
22040                           029 "Muotoile sarjan viivat"
22041                           033 "Muotoile sarjan viivat..."
22042                           027 "Muotoile selityssymboli"
22043                           029 "Muotoile selitysindeksi"
22044                           031 "Muotoile selityssymboli..."
22045                           033 "Muotoile selitysindeksi"
22046                           028 "Muotoile selitys"
22047                           026 "Muotoile kaavio..."
22048                           022 "X-virhepalkki"
22049                           022 "Y-virhepalkki"
22050                           031 "Muotoile virhepalkki"
22051                           027 "Muotoile virhepalkki"
22052                           021 "Tietol‰hde"
22053                           021 "Arvosarja"
22054                           018 "Arvot:"
22055                           022 "X - arvot:"
22056                           028 "Virheellinen viite"
22057                           035 "Muotoile vaihteluv‰liviivat"
22058                           031 "Muotoile vaihteluv‰liviivat"
22059                           017 "Loppu"
22060                           022 "Kaavioavustaja"
22061                           028 "Muotoile positiiv. palkit..."
22062                           024 "Muotoile pos. palkit"
22063                           030 "Muotoile negatiiv. palkit..."
22064                           026 "Muotoile negatiiv. palkit"
22065                           049 "Toinen piirroselementti sis‰lt‰‰ viimeiset:"
22066                           016 "Arvot"
22067                           056 "Toisen piirtoalueen kaikki arvot ovat pienempi‰ kuin:"
22068                           056 "Toisen piirtoalueen kaikki arvot ovat pienempi‰ kuin:"
22069                           057 "Siirr‰ segmenttej‰ ympyrˆiden v‰lill‰ hiiren avulla"
22070                           065 "Ylimm‰n/alimman/loppukurssin kaavioon sis‰llytt‰v‰ 3 arvosarjaa"
22074                           036 "Kaaviotyyppi ei k‰ytett‰v."
22075                           026 "Muuta arvoa..."
22076                           032 "Muotoile arvoalue..."
22077                           028 "Muotoile arvoalue"
22078                           027 "Muotoile kaavioalue"
22079                           094 "V‰lin t‰ytyy olla 0 - 500. Syˆt‰ arvo, joka on t‰lt‰ alueelta"
22080                           111 "Ensimm‰isen segmentin kulman t‰ytyy olla 0 - 360. Syˆt‰ kulma t‰lt‰ alueelta"
22081                           104 "Sis‰renkaan koon t‰ytyy olla 10 - 90. Syˆt‰ vastaava arvo"
22082                           096 "Limityksen pit‰‰ olla v‰lilt‰ -100 ja 100. Syˆt‰ arvo t‰lt‰ alueelta"
22083                           094 "V‰lin t‰ytyy olla 0 - 200. Syˆt‰ arvo t‰lt‰ alueelta"
22084                           114 "Toisen piirtoalueen koon t‰ytyy olla 5 - 200. Syˆt‰ arvo t‰lt‰ alueelta"
22085                           095 "Luvun t‰ytyy olla 1 - 31999. Syˆt‰ luku t‰lt‰ alueelta"
22086                           020 "V‰li:"
22088                           016 "Lineaarinen"
22089                           021 "Logaritminen"
22090                           014 "Kellonaika"
22091                           014 "Ei mit‰‰n"
22092                           031 "Zoomaa aika-akseli"
22093                           030 "Muotoile piirtoalue"
22094                           016 "Muotoile"
22095                           055 "Valintojen koon t‰ytyy olla suurempi kuin nolla"
22096                           047 "P‰‰v‰lin t‰ytyy olla suurempi kuin nolla"
22097                           047 "Apuv‰lin t‰ytyy olla suurempi kuin nolla"
22098                           024 "Virheellinen arvo"
22099                           029 "Muotoile positiiv. alueet..."
22100                           017 "Minimi"
22101                           017 "Maksimi"
22102                           017 "Optimaalinen"
22103                           018 "Rivi"
22104                           034 "Muotoile arvoalueen otsikko"
22105                           038 "Muotoile arvoalueen otsikko..."
22106                           027 "S‰teitt‰isakselin selite"
22107                           016 "X-akseli"
22108                           016 "Y-akseli"
22109                           016 "Z-akseli"
22110                           014 "Rasteri"
22111                           019 "Piirtoalue"
22112                           027 "Arvoalueen otsikko"
22113                           021 "Arvoalue"
22114                           019 "Negat. palkit"
22115                           017 "Posit. palkit"
22116                           024 "Vaihteluv‰liviivat"
22117                           020 "Virhepalkki"
22118                           022 "Sarjan viivat"
22119                           020 "Viiteviivat"
22120                           017 "Sarja:"
22121                           019 "Mat.kuv.:"
22122                           017 "Selite:"
22123                           034 "Muuta ympyr‰n viipal."
22124                           027 "Lis‰‰ trendiviiva..."
22125                           030 "Muotoile trendiviiva..."
22126                           026 "Muotoile trendiviiva"
22127                           036 "Muotoile trendiviivan selite..."
22128                           032 "Muotoile trendiviivan selite"
22129                           020 "Trendiviiva"
22130                           025 "Trendiviivan selite"
22131                           022 "Kolmiulott. n‰kym‰..."
22132                           049 "Kierron t‰ytyy olla 0 - 360 astetta"
22133                           048 "Korkeuden t‰ytyy olla v‰lilt‰ -90 ja 90"
22134                           052 "Perspektiivin t‰ytyy olla 0 - 100"
22135                           024 "Sarja-akseli (Z):"
22136                           026 "Arvoakseli (Y):"
22138                           022 "Muotoile lattia"
22139                           026 "Muotoile lattia..."
22140                           022 "Muotoile sein‰t"
22141                           026 "Muotoile sein‰t"
22142                           015 "Kopioi"
22143                           021 "V‰lialue:"
22144                           025 "Tietol‰hde..."
22145                           025 "Muotoile positiiv. alueet"
22146                           030 "Tallenna mallina..."
22147                           060 "Kaaviotiedostot (*.icc)|*.icc|Kaikki tied. (*.*) | *.* ||"
22148                           026 "Tallenna mallina"
22149                           089 "Aika-akselin kokonaiskoko on liian suuri. Se mukautetaan automaattisesti"
22151                           027 "Lataa malli..."
22152                           043 "Arvoakselin (X) leikkauspiste maksimissa"
22153                           023 "Lataa malli"
22154                           036 "Arvoakselin (X) leikkaupiste:"
22155                           043 "Arvoakselin (Y) leikkauspiste maksimissa:"
22156                           032 "Arvoakselin (Y) leikkauspiste:"
22157                           116 "Liukuvan keskiarvon jaksojen lukum‰‰r‰n t‰ytyy olla v‰hint‰‰n 2 ja pienempi kuin datapisteiden lukum‰‰r‰"
22158                           080 "Trendi eteenp‰in tai taaksep‰in: arvojen t‰ytyy olla suurempia kuin 0"
22159                           021 "S‰teitt‰isaks. selite"
22160                           032 "Muot. s‰teitt‰isakseliselite..."
22161                           028 "Muot. s‰teitt‰isaks.selite"
22162                           048 "Korkeuden t‰ytyy olla v‰lilt‰ -45 ja 45"
22163                           047 "Korkeuden t‰ytyy olla 10 - 90"
22164                           018 "3D-n‰kym‰"
22165                           051 "P‰iv‰n leveyden t‰ytyy olla suurempi kuin 0"
22166                           027 "Muotoile datataulu"
22167                           031 "Muotoile datataulu..."
22168                           020 "Datataulu"
22169                           028 "Akseli luokkaa varten (Y)"
22170                           025 "Akseli arvoa varten (X)"
22173                           117 "Luokka, josta aloitetaan, ei saa olla pienempi kuin 1.\nArvo mukautetaan vastaavasti"
22174                           113 "N‰kyvien luokkien lukum‰‰r‰ ei saa olla pienempi kuin 1.\nArvo mukautetaan vastaavasti"
22175                           039 "Lis‰‰ normaalijakauma..."
22176                           042 "Muotoile normaalijakauma..."
22177                           019 "Tulosta..."
22178                           024 "Tulostuksen esikatselu"
22179                           066 "Alkuarvon t‰ytyy olla eri suuri kuin loppuarvo"
22180                           077 "- 'Kyll‰' muuntaa kaikki arvosarjat valituksi kaaviotyypiksi"
22181                           054 "- 'Ei' s‰ilytt‰‰ nykyisen kaaviotyypin"
22191                           029 "&Histogrammiluokat"
22192                           032 "Normaalijakauma:"
22193                           038 "Normaalijakauman selite:"
22194                           038 "Muotoile normaalijakauma"
22195                           044 "Muotoile normaalijakauman selite"
22196                           048 "Muotoile normaalijakauman selite..."
22197                           037 "Muotoile nykyinen aikaviiva..."
22198                           033 "Muotoile nykyinen aikaviiva"
22199                           029 "Lis‰‰ arvoalue..."
22200                           031 "Muotoile negatiiviset alueet"
22201                           027 "Muotoile negatiiv. alueet"
22202                           018 "Positiiv. alueet"
22203                           020 "Negatiiv. alueet"
22204                           015 "Alku:"
22205                           013 "Loppu:"
22206                           022 "Kuvan tyyli:"
22207                           032 "Muotoile signaalialue..."
22208                           028 "Muotoile signaalialue"
22209                           034 "Muotoile nuolen selite..."
22210                           014 "Viiva"
22211                           026 "Muotoile taulu..."
22212                           022 "Muotoile taulu"
22213                           020 "Otsikon kirjasinlaji"
22214                           023 "Lis‰‰ taulu..."
22215                           024 "Lis‰‰ painike..."
22216                           027 "Muotoile sarake..."
22217                           023 "Muotoile sarake"
22218                           031 "Sarakeleveys liian pieni"
22219                           025 "Muotoile solu..."
22220                           021 "Muotoile solu"
22221                           035 "Muotoile nuolen selitteet..."
22222                           030 "Muotoile nuolen selite"
22223                           031 "Muotoile nuolen selitteet"
22224                           023 "Muotoile painike"
22225                           027 "Muotoile painike..."
22226                           036 "N‰yt‰ kuplan reunan arvot"
22228                           127 "Aikapalkkia ei voi luoda, sill‰ v‰li on liian suuri. Jos valitset Keskeyt‰, myˆh‰isin p‰iv‰m‰‰r‰ palautetaan."
22229                           016 "Tasot"
22230                           014 "Lis‰‰"
22231                           031 "Normaalijakauma"
22232                           019 "Alaotsikko"
22233                           012 "On"
22235                           020 "Otsikon kirjasinlaji"
22236                           019 "Solun fontti"
22237                           019 "Ympyr‰diagr."
22238                           036 "Muotoile akseliotsikkoyksikkˆ"
22239                           051 "Virheellinen numeromuoto"
22240                           092 "Enint‰‰n 10 arvoaluetta sallittu.\nMuut arvoalueet poistetaan"
22241                           025 "Tietol‰hde..."
22242                           035 "Lis‰‰ normaalijakauma"
22400                           107 "Yksikˆiden lkm on nykyisten aika-asteikkoasetusten vuoksi liian suuri. Suoritusteho voi v‰henty‰."
22401                           054 "Oletko varma, ett‰ asetukset ovat oikein?"
22410                           101 "N‰kyviss‰ olevien luokkien lukum‰‰r‰ ei saa olla suurempi kuin olemassa olevien luokkien lukum‰‰r‰."
22411                           056 "Arvo mukautetaan vastaavasti"
22420                           132 "N‰kyviss‰ olevien luokkien sek‰ aloitusluokan arvojen summa on suurempi kuin luokkien lukum‰‰r‰."
22421                           056 "Arvo mukautetaan vastaavasti"
22430                           132 "Kaaviotyyppi‰ ei voi muuttaa osakekaavioksi, koska osakekaaviossa tulee olla 3, 4 tai 5 arvosarjaa yht‰ pistett‰ varten."
22431                           046 "Kokeile yht‰ seuraavista ratkaisuista:"
22432                           070 "Voit kohdistaa osakekaavion kaikkiin arvosarjoihin valitsemalla 'OK'."
22433                           092 "Osakekaavio luodaan vain silloin kun taulussa on riitt‰v‰sti arvosarjoja"
22434                           050 "Sulje ilmoitus valitsemalla 'Keskeyt‰'."
22435                           132 "Valitse sitten jokin muu yksitt‰isen arvosarjan n‰ytt‰v‰ kaaviotyyppi, esimerkiksi viivakaavio"
22460                           065 "Kaksi- ja kolmiulotteisia kaavioita ei voi yhdist‰‰ kesken‰‰n."
22461                           132 "Muutetaanko kaksiulotteisen kaavion arvosarjoja niin, ett‰ kumpikin kaavio voidaan yhdist‰‰ kolmiulotteiseen kaavioon?"
22462                           094 "- 'Kyll‰' muuttaa arvosarjoja niin, ett‰ ne voi yhdist‰‰ kolmiulotteiseen kaavioon"
22464                           064 "- 'Ei' keskeytt‰‰ kaavioiden yhdist‰misen"
22470                           065 "Kolmi- ja kaksiulotteisia kaavioita ei voi yhdist‰‰ kesken‰‰n."
22471                           132 "Muutetaanko kolmiulotteisen kaavion arvosarjoja niin, ett‰ kumpikin kaavio voidaan yhdist‰‰ kaksiulotteiseen kaavioon?"
22472                           091 "- 'Kyll‰' muuttaa arvosarjoja niin, ett‰ ne voi yhdist‰‰ kaksiulotteiseen kaavioon."
22474                           064 "- 'Ei' keskeytt‰‰ kaavioiden yhdist‰misen"
22480                           060 "Kaaviota ei voi yhdist‰‰ muihin kaaviotyyppeihin"
22481                           090 "Muutetaanko t‰m‰n kaavion arvosarjat valituksi kaaviotyypiksi?"
22490                           132 "Jotta osakekaavion luonti onnistuu, syˆt‰ tiedot seuraavassa j‰rjestyksess‰: avaus-/ylin/alin/loppukurssi."
22491                           050 "K‰yt‰ p‰iv‰m‰‰ri‰ ja osakkeiden nimi‰ nimiˆin‰"
22500                           132 "Jotta osakekaavion luonti onnistuu, syˆt‰ tiedot seuraavassa j‰rjestyksess‰: vaihtovolyymi, ylin/alin/loppukurssi."
22501                           050 "K‰yt‰ p‰iv‰m‰‰ri‰ ja osakkeiden nimi‰ nimiˆin‰"
22510                           132 "Jotta osakekaavion luonti onnistuu, noudata seuraavaa j‰rjestyst‰: vaihtovolyymi, avaus-/ylin/alin/loppukurssi."
22511                           050 "K‰yt‰ p‰iv‰m‰‰ri‰ ja osakkeiden nimi‰ nimiˆin‰"
22550                           015 "Valkoinen"
22551                           015 "Musta"
22552                           013 "Punainen"
22553                           016 "Keltainen"
22554                           015 "Vihre‰"
22555                           014 "Syaani"
22556                           014 "Sininen"
22557                           017 "Magenta"
22600                           013 "Kaikki"
22601                           016 "AsiakM‰‰ritt‰m‰"
22602                           016 "Luku"
22603                           021 "Kirjanpito"
22604                           014 "Pvm"
22605                           014 "Kellonaika"
22606                           017 "Prosentti"
22607                           018 "Murtuma"
22608                           017 "Tiede"
22609                           014 "Teksti"
22610                           018 "Valuutta"
23000                           013 "Ylh‰‰ll‰"
23001                           016 "Keskell‰"
23002                           016 "Alhaalla"
23003                           016 "Jaa"
23010                           014 "Vasen"
23011                           016 "Keskell‰"
23012                           015 "Oikea"
23013                           016 "Jaa"
23020                           015 "Tietoja"
23021                           015 "Alla"
23022                           020 "Optimaalinen leveys"
23023                           016 "Keskell‰"
23024                           021 "Sis‰pohja"
23025                           020 "Sis‰p. loppu"
23026                           014 "Vasen"
23027                           015 "Yhdist."
23028                           021 "Ulkop. loppu"
23029                           015 "Oikea"
23030                           031 "Muotoile akselin teksti..."
23031                           032 "Muotoile kaavio-otsikko..."
23032                           027 "Muotoile akselin teksti"
23033                           028 "Muotoile kaavio-otsikko"
23034                           016 "Lineaarinen"
23035                           021 "Logaritminen"
23036                           019 "Potentiaal."
23037                           021 "Eksponentiaal."
23038                           024 "Liukuva keskiarvo"
23039                           019 "K‰sittele teksti‰"
23040                           019 "Automaattinen"
23041                           017 "Minimi"
23042                           017 "Maksimi"
23043                           016 "K‰ytt‰j‰n m‰‰r."
23050                           017 "Pylv‰‰t"
23051                           014 "Palkit"
23052                           015 "Viivat"
23053                           017 "Profiili"
23054                           014 "Ympyr‰t"
23055                           022 "XY (haj.)"
23056                           014 "Pinta-ala"
23057                           018 "Keh‰"
23058                           015 "S‰t."
23059                           019 "Salkku:"
23060                           015 "Kurssi"
23061                           017 "Pinnat"
23062                           018 "Sylinteri"
23063                           014 "Kartio"
23064                           017 "Pyramidi"
23065                           019 "Tarkistuspiste"
23066                           015 "Tasot"
23067                           019 "Histogrammi"
23068                           020 "Nopeusmittari"
23069                           018 "Nelikentt‰"
23070                           024 "Neliv‰ripalkit"
23090                           014 "Tiedot"
23091                           020 "Selityssymboli"
24000                           018 "Rivi"
24001                           015 "Arvo"
24002                           017 "Prosentti"
25100                           018 "3D-n‰kym‰"
25103                           021 "Tarkastelukorkeus:"
25107                           023 "Perspektiivi:"
25111                           020 "Kiert‰minen:"
25113                           023 "Skaalaa autom."
25114                           027 "Oikeat kulma-akselit"
25115                           018 "Korkeus:"
25118                           011 "%"
25119                           018 "Vakio"
25200                           019 "Tasaus"
25201                           024 "Tekstin tasaus"
25202                           022 "Vaakasuora:"
25204                           020 "Pystysuora:"
25206                           020 "Sijainti:"
25208                           021 "Tasaus"
25300                           014 "Akselit"
25301                           022 "Ensimm‰inen akseli"
25302                           029 "Luokka-akseli (X)"
25303                           026 "Arvoakseli (Y)"
25304                           027 "Sarja-akseli (Z)"
25305                           024 "Toinen akseli"
25306                           029 "Luokka-akseli (X)"
25307                           025 "Arvoakseli (Y)"
25400                           019 "Tasaus"
25401                           021 "Tasaus"
25500                           014 "Viiva"
25501                           014 "Viiva"
25502                           020 "Automaattinen"
25503                           016 "K‰ytt‰j‰n m‰‰r."
25504                           017 "Laji:"
25506                           017 "V‰ri:"
25508                           030 "P‰‰apujakoviivalaji"
25509                           015 "Ilman"
25510                           016 "Sis."
25511                           017 "Ulk."
25512                           015 "Vino"
25513                           030 "Apujakoviivalaji"
