_SAPPCTXT_HEADER_               002 8000 CHART FR 1100 OK 
20090                           015 "Léger"
20091                           017 "Normal"
20092                           016 "Moyen"
20093                           018 "Demi-gras"
20094                           014 "Gras"
20095                           020 "Extra-gras"
20096                           015 "Lourd"
20097                           021 "Extra-lourd"
20098                           017 "Italique"
20099                           017 "Inconnu"
20105                           019 "Souligné"
20108                           022 "AaBbCcDdYyZz"
20109                           016 "Objet"
20110                           017 "Objets"
20111                           033 "Le fichier n'a pas pu être lu."
20112                           081 "L'espace mémoire est insuffisant. Fermez une ou plusieurs applications."
20113                           044 "Le style sélectionné n'existe pas"
20114                           058 "La taille de la police doit être comprise entre 1 et 1635."
20115                           089 "Type de police sélectionné n'est pas dispon. ds système. Voulez-vs l'utiliser qd même ?"
20119                           020 "Objet..."
20128                           057 "Le facteur de zoom doit être compris entre 25 % et 400 %."
20141                           055 "Indiquez une valeur supérieure ou égale à 0"
20142                           055 "Indiquez une valeur supérieure ou égale à 1"
20145                           079 "Le nombre de pages à ajuster doit être compris entre 1 et 100."
20147                           014 "Elevé"
20148                           016 "Moyen"
20149                           013 "Infér."
20150                           016 "Ebauche"
20154                           023 "Formater légende"
20162                           091 "Pas d'imprimante installée ou aucune imprimante définie comme imprimante par défaut"
22000                           031 "Formater espace diagramme..."
22001                           024 "Type de graphique..."
22002                           025 "Source de données..."
22003                           027 "Graphique : options..."
22004                           021 "Format.surface dessin"
22005                           020 "Type de graphique"
22006                           023 "Graphique : options"
22007                           032 "Formater série de données"
22008                           017 "&Supprimer"
22009                           028 "Formater série de données"
22010                           019 "Chevauchement :"
22011                           014 "Annuler"
22012                           027 "Segments"
22014                           030 "Taille 2e surface de dessin"
22015                           021 "Lignes de repère"
22018                           032 "Angle du premier segment :"
22020                           030 "Taille anneau du centre :"
22021                           012 "RI"
22022                           032 "Afficher les bulles négatives"
22023                           033 "Adapter la taille de la bulle à :"
22024                           022 "% par défaut"
22025                           031 "Formater point de données..."
22026                           027 "Formater point de données"
22027                           032 "Formater légende des données..."
22028                           028 "Formater légende des données"
22029                           031 "Formater légende données..."
22030                           027 "Formater légende données"
22031                           018 "Standard"
22032                           025 "Formater axe..."
22033                           021 "Formater axe"
22034                           060 "La valeur minimale doit être supérieure à zéro."
22035                           055 "Le minimum doit être inférieur au maximum."
22036                           031 "Formater quadrillage"
22037                           026 "Formater quadrillage"
22038                           027 "Formater lignes de repère"
22039                           031 "Formater lignes de repère"
22040                           029 "Formater série de lignes"
22041                           033 "Formater série de lignes..."
22042                           027 "Formater légende"
22043                           029 "Formater index de légende"
22044                           031 "Formater légende..."
22045                           033 "Formater index de légende"
22046                           028 "Formater légende"
22047                           026 "Formater graphique..."
22048                           022 "Barres d'erreur X"
22049                           022 "Barres d'erreur Y"
22050                           031 "Formater barres d'erreur"
22051                           027 "Formater barres d'erreur"
22052                           021 "Source des données"
22053                           021 "Série de données"
22054                           018 "Valeurs :"
22055                           022 "X - valeurs :"
22056                           028 "Référence non valide"
22057                           035 "Formater lignes marginales"
22058                           031 "Formater lignes marginales"
22059                           017 "Fin"
22060                           022 "Assistant Graphique"
22061                           028 "Formater barres de hausse..."
22062                           024 "Formater barres hausse"
22063                           030 "Formater barres de baisse..."
22064                           026 "Formater barres de baisse"
22065                           049 "Le 2e élément graphique contient les dern. :"
22066                           016 "Valeurs"
22067                           056 "La 2e surface dessin contient ttes valeurs infér. à:"
22068                           056 "La 2e surface dessin contient ttes valeurs infér. à:"
22069                           057 "Déplacez les segments entre les cercles avec la souris"
22070                           065 "Un graph. pr cours max./min./clôture doit conten. 3 sér. de donn."
22074                           036 "Type de graphique inutilisable"
22075                           026 "Modifier valeur..."
22076                           032 "Formater plage de valeurs..."
22077                           028 "Formater plage de valeurs"
22078                           027 "Formater surface graphique"
22079                           094 "L'écart doit être situé entre 0 et 500. Saisissez une valeur comprise dans cette plage."
22080                           111 "L'angle du premier segment doit être compris entre 0 et 360. Entrez une valeur comprise dans cette plage."
22081                           104 "La taille de l'anneau interne doit être comprise entre 10 et 90. Entrez une valeur correspondante."
22082                           096 "Le chevauchement doit être situé entre -100 et 100. Entrez une valeur comprise dans cette plage."
22083                           094 "L'écart doit être situé entre 0 et 200. Entrez une valeur comprise dans cette plage."
22084                           114 "La taille de la seconde surface de dessin doit être compr. entre 5 et 200. Entrez une val. compr. dans cette plage"
22085                           095 "Le nombre doit être situé entre 1 et 31999. Entrez une valeur comprise dans cette plage."
22086                           020 "Distance :"
22088                           016 "Linéaire"
22089                           021 "Logarithmique"
22090                           014 "Heure"
22091                           014 "Aucun"
22092                           031 "Zoomer échelle des temps"
22093                           030 "Formater surface dessin"
22094                           016 "Formater"
22095                           055 "La taille des marques doit être superieure à zéro."
22096                           047 "L'intervalle principal doit être supérieur à 0."
22097                           047 "L'intervalle auxiliaire doit être supér. à 0."
22098                           024 "Valeur non valide"
22099                           029 "Form. surfaces écarts pos...."
22100                           017 "Minimum"
22101                           017 "Maximum"
22102                           017 "Optimum"
22103                           018 "Position"
22104                           034 "Formater titre plage de valeurs"
22105                           038 "Formater titre plage de valeurs..."
22106                           027 "Légende de l'axe radar"
22107                           016 "Axe des X"
22108                           016 "Axe des Y"
22109                           016 "Axe des Z"
22110                           014 "Grille"
22111                           019 "Surface dessin"
22112                           027 "Titre série de valeurs"
22113                           021 "Série de valeurs"
22114                           019 "Barres de baisse"
22115                           017 "Barres de hausse"
22116                           024 "Lignes maximum/minimum"
22117                           020 "Barres d'erreur"
22118                           022 "Séries de lignes"
22119                           020 "Lignes de repère"
22120                           017 "Série :"
22121                           019 "Texture :"
22122                           017 "Légende :"
22123                           034 "Modifier parts camemberts"
22124                           027 "Ajouter ligne tendances..."
22125                           030 "Formater ligne tendances..."
22126                           026 "Formater ligne tendances"
22127                           036 "Formater légende ligne tendance..."
22128                           032 "Formater légende ligne tendance"
22129                           020 "Ligne de tendance"
22130                           025 "Légende ligne de tendance"
22131                           022 "Aperçu 3D..."
22132                           049 "La rotation doit être comprise entre 0 et 360."
22133                           048 "La hauteur doit être située entre -90 et 90."
22134                           052 "La perspective doit être située entre 0 et 100."
22135                           024 "Axe des lignes (Z) :"
22136                           026 "Axe des valeurs (Y) :"
22138                           022 "Formater sol"
22139                           026 "Formater sol..."
22140                           022 "Formater murs"
22141                           026 "Formater murs"
22142                           015 "Copier"
22143                           021 "Intervalle :"
22144                           025 "Source de données..."
22145                           025 "Form. surf. écarts pos."
22146                           030 "Sauvegarder comme &modèle..."
22147                           060 "Fichiers graphique (*.icc)|*.icc|Ts fichiers (*.*) | *.* ||"
22148                           026 "Sauvegarder comme modèle"
22149                           089 "La taille totale de l'axe des temps est trop grande. Elle est corrigée automatiquement."
22151                           027 "Charger modèle..."
22152                           043 "Intersection axe des valeurs (X) au maximum"
22153                           023 "Charger modèle"
22154                           036 "Intersection axe des valeurs (X) à :"
22155                           043 "Intersection axe des valeurs (Y) au maximum"
22156                           032 "Intersection axe valeurs (Y) à :"
22157                           116 "Le nombre de périodes pour la moyenne mobile doit être d'au moins 2 ou inférieur au nombre de points de données."
22158                           080 "Les valeurs pour la tendance à la progression ou au recul doivent être > 0"
22159                           021 "Lég. axe quadrillage"
22160                           032 "Form. lég. axe quadrillage..."
22161                           028 "Form. lég. axe quadrillage"
22162                           048 "La hauteur doit être située entre -45 et 45."
22163                           047 "La hauteur doit être située entre 10 et 90."
22164                           018 "Aperçu 3D"
22165                           051 "La durée d'une journée doit être supérieure à 0."
22166                           027 "Formater table de données"
22167                           031 "Formater table de données..."
22168                           020 "Table de données"
22169                           028 "&Axe des catégories (Y)"
22170                           025 "&Axe des valeurs (X)"
22173                           117 "La valeur de la rubrique par laquelle vous commencez doit être supérieure à 1.\nLa valeur est corrigée."
22174                           113 "Le nombre de rubriques visibles ne doit pas être inférieur à 1.\nLa valeur est corrigée."
22175                           039 "Ajouter répartition normale..."
22176                           042 "Formater répartition normale..."
22177                           019 "Imprimer..."
22178                           024 "Aperçu av. impression"
22179                           066 "La valeur de départ doit différer de la valeur d'arrêt."
22180                           077 "- 'Oui' pr convertir ttes séries de données ds type de graphique sélectionné"
22181                           054 "- 'Non' pour conserver le type de graphique actuel"
22191                           029 "Classes &histogramme"
22192                           032 "Répartition normale :"
22193                           038 "Légende de la répartition normale :"
22194                           038 "Formater répartition normale"
22195                           044 "Formater légende de répartition normale"
22196                           048 "Formater légende de répartition normale..."
22197                           037 "Form. ligne aff. dte/hre actuelle..."
22198                           033 "Form. ligne aff.dte/hre actuelle"
22199                           029 "Ajouter série de valeurs..."
22200                           031 "Formater surfaces écarts nég."
22201                           027 "Form. surfaces écarts pos."
22202                           018 "Surf. écarts pos."
22203                           020 "Surf. écarts nég."
22204                           015 "Du :"
22205                           013 "Au :"
22206                           022 "Style image :"
22207                           032 "Formater plage de signaux..."
22208                           028 "Formater plage de signaux"
22209                           034 "Formater légende flèche..."
22210                           014 "Ligne"
22211                           026 "Formater table..."
22212                           022 "Formater table"
22213                           020 "Police du titre"
22214                           023 "Ajouter table..."
22215                           024 "Ajouter bouton cde..."
22216                           027 "Formater colonne..."
22217                           023 "Formater colonne"
22218                           031 "Largeur de colonne insuffisante"
22219                           025 "Formater cellule..."
22220                           021 "Formater cellule"
22221                           035 "Formater légendes flèche..."
22222                           030 "Formater légende flèche"
22223                           031 "Formater légendes flèche"
22224                           023 "Formater bouton cde"
22225                           027 "Formater bouton cde..."
22226                           036 "Afficher largeurs cercle"
22228                           127 "Imposs. créer barre de temps car intervalle trop grand. Si vous sélectionnez Interrompre, la date supérieure est réinitialisée."
22229                           016 "Niveaux"
22230                           014 "Suite"
22231                           031 "Répartition normale"
22232                           019 "Sous-titre"
22233                           012 "Activer"
22235                           020 "Police du titre"
22236                           019 "Police cellule"
22237                           019 "Camembert"
22238                           036 "Formater unité de titre d'axe"
22239                           051 "Format des numéros invalide"
22240                           092 "10 plages de valeurs au maximum sont autorisées !\nAu-delà, les autres plages st supprimées"
22241                           025 "Source de données..."
22242                           035 "Ajouter répartition normale"
22400                           107 "Nbre unités trop grandes en raison des options actuelles de l'échelle des temps. Peut diminuer performance."
22401                           054 "Toutes les options sont-elles correctes ?"
22410                           101 "Le nombre de catégories visibles ne doit pas dépasser le nombre de catégories existantes."
22411                           056 "La valeur est modifiée en conséquence."
22420                           132 "Le total des valeurs des catégories visibles et de la catégorie de départ dépasse le nombre de catégories."
22421                           056 "La valeur est modifiée en conséquence."
22430                           132 "Le type de graphique ne peut pas être modifié en graph. des actions car un tel graph.nécessite 3, 4 ou 5 séries données pr un point."
22431                           046 "Essayez l'une des solutions suivantes :"
22432                           070 "Sélectionnez 'OK' pr affecter graph. actions à ttes séries de données."
22433                           092 "Un graphique des actions est uqt généré si la table comporte assez de séries de données."
22434                           050 "Sélectionnez 'Interrompre' pr terminer le message."
22435                           132 "Sélectionnez ensuite un autre type de graphique pouvant afficher une seule série de données comme par exemple un graphique linéaire."
22460                           065 "Les graphiques 2D et 3D ne peuvent pas être combinés."
22461                           132 "Modifier les séries de données du graphique 2D afin que les deux graphiques puissent être combinés en un graphique 3D ?"
22462                           094 "- 'Oui' pour modifier les séries de données afin de les insérer dans un graphique 3D"
22464                           064 "- 'Non' pr interrompre l'intégration des graphiques"
22470                           065 "Les graphiques 3D et 2D ne peuvent pas être combinés."
22471                           132 "Modifier les séries de données du graphique 3D de sorte que les deux graphiques puissent être combinés dans un graphique 2D ?"
22472                           091 "- 'Oui' pour modifier les séries de données afin de les insérer dans un graphique 2D"
22474                           064 "- 'Non' pr interrompre l'intégration des graphiques"
22480                           060 "Impossible de combiner graphique avec autre type de graph."
22481                           090 "Modifier les séries de données de ce graphique dans le type de graphique sélectionné ?"
22490                           132 "Pour créer ce graphique des actions, disposez les données selon la séquence suivante : cours d'ouverture/max./min./de clôture."
22491                           050 "Utilisez donn. et noms d'actions comme étiquettes"
22500                           132 "Pour créer ce graphique des actions, disposez les données selon la séquence suivante : volume traité, cours max./min./de clôture."
22501                           050 "Utilisez donn. et noms d'actions comme étiquettes"
22510                           132 "Pour créer ce graphique des actions, utilisez la séquence suivante : volume traité, cours d'ouverture/max./min./de clôture."
22511                           050 "Utilisez donn. et noms d'actions comme étiquettes"
22550                           015 "Blanc"
22551                           015 "Noir"
22552                           013 "Rouge"
22553                           016 "Jaune"
22554                           015 "Vert"
22555                           014 "Cyan"
22556                           014 "Bleu"
22557                           017 "Magenta"
22600                           013 "Tous"
22601                           016 "Personnalisé"
22602                           016 "Nombre"
22603                           021 "Comptabilité"
22604                           014 "Date"
22605                           014 "Heure"
22606                           017 "Pour cent"
22607                           018 "Fracture"
22608                           017 "Science"
22609                           014 "Texte"
22610                           018 "Devise"
23000                           013 "Supérieur"
23001                           016 "Moyen"
23002                           016 "Inférieur"
23003                           016 "Fractionner"
23010                           014 "Gauche"
23011                           016 "Moyen"
23012                           015 "Droite"
23013                           016 "Fractionner"
23020                           015 "A propos de"
23021                           015 "Subord."
23022                           020 "Largeur optimale"
23023                           016 "Moyen"
23024                           021 "Base interne"
23025                           020 "Fin interne"
23026                           014 "Gauche"
23027                           015 "Mixte"
23028                           021 "Fin à l'extérieur"
23029                           015 "Droite"
23030                           031 "Formater légende des axes..."
23031                           032 "Formater titre graphique..."
23032                           027 "Formater légende des axes"
23033                           028 "Formater titre graphique"
23034                           016 "Linéaire"
23035                           021 "Logarithmique"
23036                           019 "Potentiel"
23037                           021 "Exponentielle"
23038                           024 "Moyenne mobile"
23039                           019 "Traiter texte"
23040                           019 "Automatiquement"
23041                           017 "Minimum"
23042                           017 "Maximum"
23043                           016 "Personnalisé"
23050                           017 "Colonnes"
23051                           014 "Barres"
23052                           015 "Lignes"
23053                           017 "Profil"
23054                           014 "Camemberts"
23055                           022 "XY (répandre)"
23056                           014 "Surface"
23057                           018 "Anneau"
23058                           015 "Radar"
23059                           019 "Portef."
23060                           015 "Cours"
23061                           017 "Surfaces"
23062                           018 "Cylindre"
23063                           014 "Cône"
23064                           017 "Pyramide"
23065                           019 "Jalon"
23066                           015 "Niveaux"
23067                           019 "Histogramme"
23068                           020 "Tachymètre"
23069                           018 "Quadrant"
23070                           024 "Barres polychromes"
23090                           014 "Données"
23091                           020 "Symbole de légende"
24000                           018 "Position"
24001                           015 "Valeur"
24002                           017 "Pour cent"
25100                           018 "Aperçu 3D"
25103                           021 "Elévation"
25107                           023 "Perspective :"
25111                           020 "Rotation :"
25113                           023 "Variation automatique"
25114                           027 "Axes à angles droits"
25115                           018 "Hauteur :"
25118                           011 "%"
25119                           018 "Standard"
25200                           019 "Alignement"
25201                           024 "Alignement texte"
25202                           022 "Horizontal :"
25204                           020 "Vertical :"
25206                           020 "Position :"
25208                           021 "Alignement"
25300                           014 "Axes"
25301                           022 "Axe primaire"
25302                           029 "Axe des rubriques (X)"
25303                           026 "Axe des valeurs (Y)"
25304                           027 "Axe des séries (Z)"
25305                           024 "Axe secondaire"
25306                           029 "Axe des catégories (X)"
25307                           025 "Axe des valeurs (Y)"
25400                           019 "Alignement"
25401                           021 "Alignement"
25500                           014 "Ligne"
25501                           014 "Ligne"
25502                           020 "Automatique"
25503                           016 "Personnalisé"
25504                           017 "Type :"
25506                           017 "Couleur :"
25508                           030 "Marque graduation principale"
25509                           015 "Sans"
25510                           016 "A l'intérieur"
25511                           017 "A l'extérieur"
25512                           015 "Paysage"
25513                           030 "Marque graduation secondaire"
25514                           015 "Sans"
25515                           016 "A l'intérieur"
25516                           017 "A l'extérieur"
25517                           015 "Paysage"
25518                           026 "Etiquettes de graduation"
25519                           015 "Sans"
25520                           013 "Ind."
25521                           014 "Elevé"
25522                           022 "Proximité de l'axe"
25523                           016 "Aperçu"
25600                           014 "Axes"
25601                           024 "Séries de données rel. à"
25602                           023 "Axe primaire"
25603                           025 "Axe secondaire"
25700                           019 "Indicateur erreur"
25701                           017 "Afficher"
25703                           022 "Montant erroné"
25704                           023 "&Constante :"
25705                           021 "Pourcentage :"
25706                           029 "Ecart standard :"
25707                           024 "Erreur standard :"
25708                           017 "Adapter :"
25711                           011 "%"
25713                           011 "+"
25715                           011 "_"
25800                           019 "Quadrillages"
25801                           028 "Axe des rubriques (X)"
25802                           026 "Quadrillage principal"
25803                           026 "Quadrillage auxiliaire"
25804                           025 "Axe des valeurs (Y)"
25805                           026 "Quadrillage principal"
25806                           026 "Quadrillage auxiliaire"
25807                           026 "Axe des séries (Z)"
25808                           026 "Quadrillage principal"
25809                           026 "Quadrillage auxiliaire"
25810                           028 "Axe des rubriques (X)"
25811                           026 "Quadrillage principal"
25812                           026 "Quadrillage auxiliaire"
25813                           025 "Axe des valeurs (Y)"
25814                           026 "Quadrillage principal"
25815                           026 "Quadrillage auxiliaire"
25816                           022 "Axe primaire"
25817                           024 "Axe secondaire"
25900                           014 "Ligne"
25901                           020 "Automatique"
25902                           017 "Personnalisé"
25903                           014 "Ligne"
25904                           017 "Type :"
25906                           017 "Couleur :"
25908                           016 "Aperçu"
25909                           016 "Point nodal"
26000                           021 "Légendes de données"
26001                           021 "Légendes de données"
26002                           015 "Aucun"
26003                           020 "Afficher valeur"
26004                           022 "Afficher pourcentage"
26005                           020 "Afficher légende"
26006                           032 "Afficher légende et pourcentage"
26007                           026 "Afficher taille de bulle"
26009                           030 "Afficher légende et valeur"
26010                           029 "Afficher valeur de X et de Y"
26011                           036 "Afficher légende et taille de bulle"
26100                           016 "Légende"
26101                           014 "Type"
26103                           027 "Bulles de référence"
26104                           018 "Afficher"
26105                           024 "Taille maximale :"
26108                           019 "Pos./taille modif."
26109                           025 "Masqué"
26200                           014 "Ligne"
26201                           014 "Ligne"
26202                           020 "Automatique"
26203                           017 "Personnalisé"
26204                           017 "Type :"
26206                           017 "Couleur :"
26208                           017 "Lisser"
26209                           016 "Marquage"
26210                           020 "Automatique"
26211                           015 "Aucun"
26212                           017 "Personnalisé"
26213                           017 "Type :"
26215                           022 "Avant-plan :"
26217                           022 "Arrière-plan :"
26219                           016 "Taille"
26222                           016 "Aperçu"
26223                           016 "Sommet :"
26226                           016 "Taille :"
26227                           017 "Epaisseur :"
26300                           016 "Nombres"
26301                           020 "Catégorie :"
26303                           026 "Formats des nombres :"
26305                           016 "Aperçu"
26306                           016 "Statique"
26307                           025 "Format des nombres :"
26400                           015 "Routine FORM"
26401                           017 "Formes :"
26500                           017 "Motif"
26501                           014 "Compléter"
26502                           020 "Automatique"
26503                           016 "Couleur"
26504                           018 "Motif"
26505                           019 "Dégradé"
26506                           018 "Structure"
26507                           016 "Statique"
26509                           016 "Statique"
26511                           016 "Statique"
26513                           022 "Effets 3D"
26514                           016 "Cadre"
26515                           020 "Automatique"
26516                           017 "Personnalisé"
26517                           017 "Type :"
26519                           017 "Couleur :"
26521                           017 "Ombre"
26522                           016 "Aperçu"
26523                           022 "Transparent"
26525                           018 "Modèle :"
26526                           015 "Ecran"
26527                           025 "Ouvrir écran..."
26600                           019 "Ligne de tendance"
26601                           031 "Type tendance/régression"
26603                           026 "Nom lignes de tendance"
26605                           020 "Automatique"
26606                           018 "Tendance"
26607                           019 "Vers l'avant :"
26610                           020 "Vers l'arrière :"
26613                           019 "Périodes :"
26616                           036 "Représenter formule dans graphique"
26700                           015 "Chang. échelle"
26701                           015 "Chang. échelle"
26702                           029 "Mise à échelle axe rubriques"
26703                           033 "Intersection axe des valeurs à :"
26705                           057 "Nombre de rubriques entre étiquettes de graduation :"
