_SAPPCTXT_HEADER_               002 8000 CHART ES 1100 OK 
20066                           024 "Formato página..."
20072                           030 "Cerrar presentación preliminar"
20087                           017 "Desconocido"
20088                           014 "Fino"
20089                           021 "Ultraligero"
20090                           015 "Ligero"
20091                           017 "Normal"
20092                           016 "Mediano"
20093                           018 "Seminegrita"
20094                           014 "Negrita"
20095                           020 "Supernegrita"
20096                           015 "Pesado"
20097                           021 "Muy pesado"
20098                           017 "Cursiva"
20099                           017 "Desconocido"
20105                           019 "Subrayado"
20108                           022 "AaBbCcDdYyZz"
20109                           016 "Objeto"
20110                           017 "Objetos"
20111                           033 "Imposible leer fichero"
20112                           081 "No hay suficiente memoria: Cierre una o varias aplicaciones"
20113                           044 "El estilo seleccionado no existe"
20114                           058 "El tamaño del tipo de font debe estar entre 1 y 1635"
20115                           089 "El font seleccionado no está disponible en el sistema: ¿Desea utilizarlo a pesar de ello?"
20119                           020 "Objeto..."
20128                           057 "El factor zoom deberá estar entre 25% y 400%"
20141                           055 "Indique un valor igual o superior a 0"
20142                           055 "Indique un valor igual o superior a 1"
20145                           079 "La cantidad de páginas a ajustar deberá estar entre 1 y 100"
20147                           014 "Alto"
20148                           016 "Mediano"
20149                           013 "Bajo"
20150                           016 "Proyecto"
20154                           023 "Formatear leyenda"
20162                           091 "No hay ninguna impresora instalada o ninguna definida como impresora estándar"
22000                           031 "Formatear ámbito diagrama..."
22001                           024 "Tipo diagrama..."
22002                           025 "Fuente datos..."
22003                           027 "Opciones diagrama..."
22004                           021 "Formatear trazo"
22005                           020 "Tipo diagrama"
22006                           023 "Opciones diagrama"
22007                           032 "Formatear serie datos"
22008                           017 "Borrar"
22009                           028 "Formatear serie datos"
22010                           019 "Solapamiento"
22011                           014 "Deshacer"
22012                           027 "Líneas de enlace"
22014                           030 "Tamaño de 2ª área de trazado"
22015                           021 "Líneas de referencia"
22018                           032 "Ángulo del primer bloque"
22020                           030 "Tamaño de rosquilla"
22021                           012 "SC"
22022                           032 "Visual.burbujas negativas"
22023                           033 "Ajustar tamaño burbujas a:"
22024                           022 "% del estándar"
22025                           031 "Formatear punto..."
22026                           027 "Formatear punto"
22027                           032 "Formatear rótulo de datos..."
22028                           028 "Formatear rótulo de datos"
22029                           031 "Formatear rótulo de datos..."
22030                           027 "Formatear rótulo de datos"
22031                           018 "Estándar"
22032                           025 "Formatear eje..."
22033                           021 "Formatear eje"
22034                           060 "El valor mínimo debe ser superior a 0"
22035                           055 "El mínimo debe ser inferior al máximo"
22036                           031 "Formatear líneas de reja"
22037                           026 "Formatear líneas de reja"
22038                           027 "Formatear líneas referencia"
22039                           031 "Formatear líneas referencia"
22040                           029 "Formatear líneas de serie"
22041                           033 "Formatear líneas de serie..."
22042                           027 "Formatear clave de leyenda"
22043                           029 "Formatear índice de leyenda"
22044                           031 "Formatear clave de leyenda..."
22045                           033 "Formatear índice de leyenda"
22046                           028 "Formatear leyenda"
22047                           026 "Formatear diagrama..."
22048                           022 "Barra errores X"
22049                           022 "Barra errores Y"
22050                           031 "Formatear barra de errores"
22051                           027 "Formatear barra de errores"
22052                           021 "Fuente de datos"
22053                           021 "Serie de datos"
22054                           018 "Valores"
22055                           022 "Valores X"
22056                           028 "Referencia no válida"
22057                           035 "Formatear líneas máx.-mín."
22058                           031 "Formatear líneas máx.-mín."
22059                           017 "Finalizar"
22060                           022 "Asistente diagrama"
22061                           028 "Formatear barras positivas.."
22062                           024 "Formatear barras pos."
22063                           030 "Formatear barras negativas..."
22064                           026 "Formatear barras neg."
22065                           049 "Segundo elemento de trazo contiene último"
22066                           016 "Valores"
22067                           056 "Segundo trazo contiene valores (todos) inferiores a"
22068                           056 "Segundo trazo contiene valores (todos) inferiores a"
22069                           057 "Desplace bloques entre diagramas de tartas con ratón"
22070                           065 "Diagrama de cierre bolsa alta/baja debe contener tres series dat."
22074                           036 "Tipo diagrama inutilizable"
22075                           026 "Modif.valor..."
22076                           032 "Formatear ámbito valores..."
22077                           028 "Formatear ámbito valores"
22078                           027 "Formatear área diagrama"
22079                           094 "La separación debe situarse entre 0 y 500. Indique un valor comprendido en esa área"
22080                           111 "El ángulo del primer segmento debe situarse entre 0 y 360. Indique un ángulo comprendido en esa área"
22081                           104 "El tamaño del anillo interior debe situarse entre 10 y 90. Indique el valor correspondiente"
22082                           096 "El solapamiento debe situarse entre -100 y 100. Indique un valor comprendido en esa área"
22083                           094 "La separación debe situarse entre 0 y 200. Indique un valor comprendido en esa área"
22084                           114 "El tamaño de la segunda área de trazado debe situarse entre 5 y 200. Indique un valor comprendido en ese ámbito"
22085                           095 "El número debe situarse entre 1 y 31999. Indique un número comprendido en esa área"
22086                           020 "Distancia"
22088                           016 "Lineal"
22089                           021 "Logarítmico"
22090                           014 "Hora"
22091                           014 "Ning."
22092                           031 "Zoom eje escala tiempo"
22093                           030 "Formatear área de trazo"
22094                           016 "Formatear"
22095                           055 "El tamaño de las marcas debe ser superior a 0"
22096                           047 "El intervalo principal debe ser superior a 0"
22097                           047 "El intervalo auxiliar debe ser superior a 0"
22098                           024 "Valor no permitido"
22099                           029 "Formatear área positiva..."
22100                           017 "Mínimo"
22101                           017 "Máximo"
22102                           017 "Óptimo"
22103                           018 "Posición"
22104                           034 "Formatear título de ámbito valores"
22105                           038 "Formatear título de ámbito valores..."
22106                           027 "Rótulo del eje radar"
22107                           016 "Eje X"
22108                           016 "Eje Y"
22109                           016 "Eje Z"
22110                           014 "Trama"
22111                           019 "Área de trazo"
22112                           027 "Título del ámbito valores"
22113                           021 "Ámbito de valores"
22114                           019 "Barra negativa"
22115                           017 "Barra positiva"
22116                           024 "Líneas máx.-mín."
22117                           020 "Barras errores"
22118                           022 "Líneas serie"
22119                           020 "Líneas referencia"
22120                           017 "Serie"
22121                           019 "Textura"
22122                           017 "Rótulo"
22123                           034 "Modif.elem.diagr.tartas"
22124                           027 "Añadir línea tendencia..."
22125                           030 "Formatear línea tendencia..."
22126                           026 "Formatear línea tendencia"
22127                           036 "Formatear rótulo línea tendencia..."
22128                           032 "Formatear rótulo lín.tendencia"
22129                           020 "Lín.tendencia"
22130                           025 "Rótulo línea tendencia"
22131                           022 "Vista 3D..."
22132                           049 "La rotación debe situarse entre 0 y 360 grados"
22133                           048 "La altura debe situarse entre -90 y 90"
22134                           052 "La perspectiva debe situarse entre 0 y 100"
22135                           024 "Eje de fila (Z)"
22136                           026 "Eje de valor (Y)"
22138                           022 "Formatear suelo"
22139                           026 "Formatear suelo..."
22140                           022 "Formatear paredes"
22141                           026 "Formatear paredes"
22142                           015 "Copiar"
22143                           021 "Prof.hueco"
22144                           025 "Fuente datos..."
22145                           025 "Formatear área positiva"
22146                           030 "Grabar como modelo..."
22147                           060 "Fich.diagrama (*.icc)|*.icc|Ficheros(todos) (*.*) | *.* ||"
22148                           026 "Grabar como modelo"
22149                           089 "El tamaño total del eje de tiempos es muy grande. Se ajustará automáticamente"
22151                           027 "Cargar modelo..."
22152                           043 "Intersección eje valor (X) en máximo"
22153                           023 "Cargar modelo"
22154                           036 "Intersección eje de valor (X) en"
22155                           043 "Intersección eje de valor (Y) máximo en"
22156                           032 "Intersección eje de valor en"
22157                           116 "La cantidad de períodos en promedio variable debe ser de 2 como mínimo e inferior al número de puntos"
22158                           080 "Valores de previsiones progresivas y regresivas deben ser superiores a 0"
22159                           021 "Rótulo de radar"
22160                           032 "Formatear rótulo de radar..."
22161                           028 "Formatear rótulo de radar"
22162                           048 "La altura debe situarse entre -45 y 45"
22163                           047 "La altura debe situarse entre 10 y 90"
22164                           018 "Vista 3D"
22165                           051 "El ancho diario debe ser superior a 0"
22166                           027 "Formatear tabla de datos"
22167                           031 "Formatear tabla de datos..."
22168                           020 "Tabla datos"
22169                           028 "&Eje para categoría (Y)"
22170                           025 "&Eje para valor (X)"
22173                           117 "La categoría desde la que se inicia, no debe ser inferior a 1.\nEl valor se ajustará correspondientemente"
22174                           113 "Cantidad de categorías visibles no puede ser inferior a 1.\nEl valor se ajustará correspondientemente"
22175                           039 "Crear distribución normal..."
22176                           042 "Formatear distribución normal..."
22177                           019 "Imprimir..."
22178                           024 "Previsualización"
22179                           066 "El valor inicial debe ser distinto al valor de parada"
22180                           077 "- 'Sí', para convertir series datos (todas) en diagrama seleccionado"
22181                           054 "- 'No', para conservar tipo diagrama actual"
22191                           029 "Clases de histograma"
22192                           032 "Distribución normal"
22193                           038 "Rótulo de distribución normal"
22194                           038 "Formatear distribución normal"
22195                           044 "Formatear rótulo de distribución normal"
22196                           048 "Formatear rótulo de distribución normal..."
22197                           037 "Formatear línea tiempo actual..."
22198                           033 "Formatear línea tiempo actual"
22199                           029 "Crear ámbito valores..."
22200                           031 "Formatear áreas negativas"
22201                           027 "Formatear áreas negativas"
22202                           018 "Áreas positivas"
22203                           020 "Áreas negativas"
22204                           015 "De"
22205                           013 "A"
22206                           022 "Estilo imagen"
22207                           032 "Formatear área señal..."
22208                           028 "Formatear área señal"
22209                           034 "Formatear rótulo puntero..."
22210                           014 "Línea"
22211                           026 "Formatear tabla..."
22212                           022 "Formatear tabla"
22213                           020 "Tipo de font título"
22214                           023 "Crear tabla..."
22215                           024 "Crear pulsador..."
22216                           027 "Formatear columna..."
22217                           023 "Formatear columna"
22218                           031 "Columna demasiado pequeña"
22219                           025 "Formatear celda..."
22220                           021 "Formatear celda"
22221                           035 "Formatear rótulo puntero"
22222                           030 "Formatear rótulo puntero"
22223                           031 "Formatear rótulos puntero"
22224                           023 "Formatear pulsador"
22225                           027 "Formatear pulsador..."
22226                           036 "Visualizar ancho margen burbujas"
22228                           127 "Intervalo demasiado grande -> Imposible crear barra de tiempo. Tras cancelar se reinicializará la fecha más alta."
22229                           016 "Pasos"
22230                           014 "Más"
22231                           031 "Distribución normal"
22232                           019 "Subtítulo"
22233                           012 "On"
22235                           020 "Tipo de font título"
22236                           019 "Font celda"
22237                           019 "Diagrama circular"
22238                           036 "Formatear unidad título eje"
22239                           051 "Formato de número no válido"
22240                           092 "Se permiten sólo 10 ámbitos de valores \nÁmbitos de valores adicionales serán borrados"
22241                           025 "Fuente datos..."
22242                           035 "Crear distribución normal"
22400                           107 "Cantidad unidades excesiva debido a parametrizaciones actuales escala tiempos. Puede reducir rendimiento."
22401                           054 "¿Está seguro de que las parametriz.son correctas?"
22410                           101 "La cantidad de categorías visibles no puede exceder la cantidad de categorías disponibles"
22411                           056 "El valor se ajusta convenientemente"
22420                           132 "Suma de valores de categorías visibles y de la categoría de donde se quiere lanzar rebasa la cantidad de categorías"
22421                           056 "El valor se ajusta convenientemente"
22430                           132 "Imposible modificar tipo diagrama a diagrama acciones porque un diagrama acciones necesita 3, 4 ó 5 series de datos para un punto"
22431                           046 "Pruebe una de las soluciones siguientes:"
22432                           070 "Seleccione 'OK' para asignar diagrama acciones a series datos"
22433                           092 "Un diagrama de acciones sólo se genera si la tabla contiene suficientes series de datos"
22434                           050 "Para cerrar el mensaje pulse 'Cancelar'"
22435                           132 "Seleccione otro tipo de diagrama que pueda visualizar una serie de datos individual como por ejemplo un gráfico de líneas"
22460                           065 "Los diagramas 2D y 3D no pueden combinarse"
22461                           132 "¿Desea modificar las series de datos del diagrama 2D de tal forma que ambos diagramas puedan combinarse en un diagrama 3D?"
22462                           094 "- 'Sí', para modificar las series de datos y poder agruparlas en un diagrama 3D"
22464                           064 "-'No', para cancelar agrupación de diagramas"
22470                           065 "Los diagramas 3D y 2D no pueden combinarse"
22471                           132 "¿Desea modificar las series de datos del diagrama 3D de tal forma que ambos diagramas puedan combinarse en un diagrama 2D?"
22472                           091 "- 'Sí', para modificar las series de datos y para poder agruparlas en un diagrama 2D"
22474                           064 "- 'No', para cancelar agrupación de diagramas"
22480                           060 "Diagrama no combinable con otros tipos de diagramas"
22481                           090 "¿Desea modificar las series de datos de este diagrama al tipo de diagrama seleccionado?"
22490                           132 "Para crear este diagrama de acciones tome los datos en el orden siguiente: Tipo de cambio de apertura/máximo/mínimo/al cierre"
22491                           050 "Utilizar datos o nombres acciones como etiquetas"
22500                           132 "Para crear este diagrama de acciones tome los datos en el orden siguiente: Volumen negociado, tipo de cambio máximo/mínimo/al cierre"
22501                           050 "Utilizar datos o nombres acciones como etiquetas"
22510                           132 "Para crear este diagrama acciones tome los datos en orden siguiente: Volumen negociado, tipo cambio apertura/máximo/mínimo/al cierre"
22511                           050 "Utilizar datos o nombres acciones como etiquetas"
22550                           015 "Blanco"
22551                           015 "Negro"
22552                           013 "Rojo"
22553                           016 "Amarillo"
22554                           015 "Verde"
22555                           014 "Turquesa"
22556                           014 "Azul"
22557                           017 "Magenta"
22600                           013 "Tod."
22601                           016 "Defin.por usuar."
22602                           016 "Número"
22603                           021 "Contabilidad"
22604                           014 "Fecha"
22605                           014 "Hora"
22606                           017 "Porcentaje"
22607                           018 "Fracción"
22608                           017 "Ciencia"
22609                           014 "Texto"
22610                           018 "Moneda"
23000                           013 "Arriba"
23001                           016 "Centro"
23002                           016 "Abajo"
23003                           016 "Repartir"
23010                           014 "Izquierda"
23011                           016 "Centro"
23012                           015 "Derecha"
23013                           016 "Repartir"
23020                           015 "Superior"
23021                           015 "Subordinado"
23022                           020 "Ancho óptimo"
23023                           016 "Centro"
23024                           021 "Base interna"
23025                           020 "Fin interno"
23026                           014 "Izquierda"
23027                           015 "Mixto"
23028                           021 "Fin externo"
23029                           015 "Derecha"
23030                           031 "Formatear rótulo de eje..."
23031                           032 "Formatear título de diagrama..."
23032                           027 "Formatear rótulo de eje"
23033                           028 "Formatear título de diagrama"
23034                           016 "Lineal"
23035                           021 "Logarítmico"
23036                           019 "Potencial"
23037                           021 "Exponencial"
23038                           024 "Media variable"
23039                           019 "Tratar texto"
23040                           019 "Automáticamente"
23041                           017 "Mínimo"
23042                           017 "Máximo"
23043                           016 "Personalizado"
23050                           017 "Columnas"
23051                           014 "Barras"
23052                           015 "Líneas"
23053                           017 "Perfil"
23054                           014 "Tartas"
23055                           022 "XY (dispersar)"
23056                           014 "Superficie"
23057                           018 "Anillos"
23058                           015 "Radar"
23059                           019 "Portafolio:"
23060                           015 "Tipo de cambio"
23061                           017 "Superficies"
23062                           018 "Cilindro"
23063                           014 "Cono"
23064                           017 "Pirámide"
23065                           019 "Hito"
23066                           015 "Pasos"
23067                           019 "Histograma"
23068                           020 "Tacómetro"
23069                           018 "Cuadrante"
23070                           024 "Barra de cuatro colores"
23090                           014 "Datos"
23091                           020 "Símbolo de leyenda"
24000                           018 "Posición"
24001                           015 "Valor"
24002                           017 "Porcentaje"
25100                           018 "Vista 3D"
25103                           021 "Elevación"
25107                           023 "Perspectiva"
25111                           020 "Rotación"
25113                           023 "Ajuste escala autom."
25114                           027 "Ejes rectangulares"
25115                           018 "Altura"
25118                           011 "%"
25119                           018 "Estándar"
25200                           019 "Orientación"
25201                           024 "Alineación de texto"
25202                           022 "Horizontal"
25204                           020 "Vertical"
25206                           020 "Posición"
25208                           021 "Orientación"
25300                           014 "Ejes"
25301                           022 "Eje principal"
25302                           029 "Eje de categorías (X)"
25303                           026 "Eje de valores (Y)"
25304                           027 "Eje de series (Z)"
25305                           024 "Eje secundario"
25306                           029 "Eje de categorías (X)"
25307                           025 "Eje de valores (Y)"
25400                           019 "Orientación"
25401                           021 "Orientación"
25500                           014 "Línea"
25501                           014 "Línea"
25502                           020 "Automático"
25503                           016 "Personalizado"
25504                           017 "Clase"
25506                           017 "Color"
25508                           030 "Cl.marca graduación aux.pral."
25509                           015 "Ning."
25510                           016 "Dentro"
25511                           017 "Fuera"
25512                           015 "Diagonal"
25513                           030 "Cl.marca graduación aux.sec."
25514                           015 "Ning."
25515                           016 "Dentro"
25516                           017 "Fuera"
25517                           015 "Diagonal"
25518                           026 "Rótulos marca grad.aux."
25519                           015 "Ning."
25520                           013 "Bajo"
25521                           014 "Alto"
25522                           022 "Cerca del eje"
25523                           016 "Pres.prelimin."
25600                           014 "Ejes"
25601                           024 "Serie datos se aplica a"
25602                           023 "Eje principal"
25603                           025 "Eje secundario"
25700                           019 "Barra de error"
25701                           017 "Visualizar"
25703                           022 "Importe de error"
25704                           023 "Valor constante"
25705                           021 "Valor porcentual"
25706                           029 "Desviación estándar"
25707                           024 "Error estándar"
25708                           017 "Adecuar"
25711                           011 "%"
25713                           011 "+"
25715                           011 "_"
25800                           019 "Líneas reja"
25801                           028 "Eje de categorías (X)"
25802                           026 "Línea división principal"
25803                           026 "Línea división secundaria"
25804                           025 "Eje de valores (Y)"
25805                           026 "Línea división principal"
25806                           026 "Línea división secundaria"
25807                           026 "Eje de series (Z)"
25808                           026 "Línea división principal"
25809                           026 "Línea división secundaria"
25810                           028 "Eje de categorías (X)"
25811                           026 "Línea división principal"
25812                           026 "Línea división secundaria"
25813                           025 "Eje de valores (Y)"
25814                           026 "Línea división principal"
25815                           026 "Línea división secundaria"
25816                           022 "Eje principal"
25817                           024 "Eje secundario"
25900                           014 "Línea"
25901                           020 "Automático"
25902                           017 "Personalizado"
25903                           014 "Línea"
25904                           017 "Clase"
25906                           017 "Color"
25908                           016 "Pres.prelimin."
25909                           016 "Marca"
26000                           021 "Etiquetas de datos"
26001                           021 "Etiquetas de datos"
26002                           015 "Ning."
26003                           020 "Visualizar valor"
26004                           022 "Visualizar porcentaje"
26005                           020 "Visualizar rótulo"
26006                           032 "Visualizar rótulo y procentaje"
26007                           026 "Visualizar tamaño burbuja"
26009                           030 "Visualizar rótulo y valor"
26010                           029 "Visualizar valor X y valor Y"
26011                           036 "Visualizar rótulo y tamaño burbuja"
26100                           016 "Leyenda"
26101                           014 "Tipo"
26103                           027 "Burbujas de referencia"
26104                           018 "Visualizar"
26105                           024 "Tamaño máximo"
26108                           019 "Pos./Tam.modific."
26109                           025 "Suprimido"
26200                           014 "Línea"
26201                           014 "Línea"
26202                           020 "Automático"
26203                           017 "Personalizado"
26204                           017 "Clase"
26206                           017 "Color"
26208                           017 "Liso"
26209                           016 "Marca"
26210                           020 "Automático"
26211                           015 "Ning."
26212                           017 "Personalizado"
26213                           017 "Clase"
26215                           022 "Primer plano"
26217                           022 "Segundo plano"
26219                           016 "Tamaño"
26222                           016 "Pres.prelimin."
26223                           016 "Vértice"
26226                           016 "Tamaño"
26227                           017 "Grosor:"
26300                           016 "Números"
26301                           020 "Categoría"
26303                           026 "Formatos de número"
26305                           016 "Pres.prelimin."
26306                           016 "Estático"
26307                           025 "Formato de número"
26400                           015 "Forma"
26401                           017 "Formas"
26500                           017 "Dibujo"
26501                           014 "Rellenar"
26502                           020 "Automático"
26503                           016 "Color"
26504                           018 "Dibujo"
26505                           019 "Sombreado"
26506                           018 "Estructura"
26507                           016 "Estático"
26509                           016 "Estático"
26511                           016 "Estático"
26513                           022 "Efectos 3D"
26514                           016 "Marcos"
26515                           020 "Automático"
26516                           017 "Personalizado"
26517                           017 "Clase"
26519                           017 "Color"
26521                           017 "Sombra"
26522                           016 "Pres.prelimin."
26523                           022 "Transparente"
26525                           018 "Dibujo"
26526                           015 "Imagen"
26527                           025 "Abrir imagen..."
26600                           019 "Lín.tendencia"
26601                           031 "Tipo de tendencia/regresión"
26603                           026 "Nombre línea tendencia"
26605                           020 "Automático"
26606                           018 "Tendencia"
26607                           019 "Hacia adelante"
26610                           020 "Hacia atrás"
26613                           019 "Períodos"
26616                           036 "Representar fórmula en diagrama"
26700                           015 "Graduación"
26701                           015 "Graduación"
26702                           029 "Graduación eje categorías"
26703                           033 "Eje de valores se cruza en"
26705                           057 "Ctd.categorías entre etiquetas marcas graduación aux."
26707                           051 "Ctd.categorías entre marcas de graduación auxiliar"
26709                           048 "Eje de valores se cruza entre categorías"
26710                           038 "Categorías en orden inverso"
26712                           020 "Automático"
