_SAPPCTXT_HEADER_               002 8000 CHART SV 1100 OK 
22030                           027 "Formatera dataetikett"
22031                           018 "Standard"
22032                           025 "Formatera axel..."
22033                           021 "Formatera axel"
22034                           060 "Min.värde måste vara större än noll"
22035                           055 "Min. måste vara mindre än max."
22036                           031 "Formatera gitterlinjer"
22037                           026 "Formatera gitterlinjer"
22038                           027 "Formatera fallinjer"
22039                           031 "Formatera fallinjer"
22040                           029 "Formatera serielinjer"
22041                           033 "Formatera serielinjer..."
22042                           027 "Formatera förklaringssymbol"
22043                           029 "Formatera förklaringsindex"
22044                           031 "Formatera förklaringssymbol..."
22045                           033 "Formatera förklaringsindex"
22046                           028 "Formatera förklaring"
22047                           026 "Formatera diagram..."
22048                           022 "X-felstapel"
22049                           022 "Y-felstapel"
22050                           031 "Formatera felstapel"
22051                           027 "Formatera felstapel"
22052                           021 "Datakälla"
22053                           021 "Dataserie"
22054                           018 "Värden:"
22055                           022 "X - värden:"
22056                           028 "Ogiltig referens"
22057                           035 "Formatera maximi-minimi-linjer"
22058                           031 "Formatera maximi-minimi-linjer"
22059                           017 "Avsl."
22060                           022 "Diagramguide"
22061                           028 "Formatera positiv stapel..."
22062                           024 "Formatera positiv stapel"
22063                           030 "Formatera negativ stapel..."
22064                           026 "Formatera negativ stapel"
22065                           049 "Andra ritelementet innehåller senaste:"
22066                           016 "Värden"
22067                           056 "Andra ritytan innehåller alla värden mindre än:"
22068                           056 "Andra ritytan innehåller alla värden mindre än:"
22069                           057 "Flytta segmenten mellan cirklarna med musen"
22070                           065 "Diagram för högsta/lägsta/slutkurser måste inneh. tre dataserier"
22074                           036 "Diagramtypen kan ej användas"
22075                           026 "Ändra värde..."
22076                           032 "Formatera värdeområde..."
22077                           028 "Formatera värdeområde"
22078                           027 "Formatera diagramområde"
22079                           094 "Avståndet måste ligga mellan 0 och 500 - ange ett värde från detta område"
22080                           111 "Vinkeln för det första segmentet måste ligga mellan 0 och 360 - ange en vinkel från detta intervall"
22081                           104 "Storleken på hålet måste ligga mellan 10 och 90 - ange ett motsvarande värde"
22082                           096 "Överlappningen måste ligga mellan -100 och 100 - ange ett värde från detta område"
22083                           094 "Avståndet måste ligga mellan 0 och 200 - ange ett värde från detta område"
22084                           114 "Storleken på andra ritytan måste ligga mellan 5 och 200 - ange ett värde från detta område"
22085                           095 "Talet måste ligga mellan 1 och 31999 -  ange ett tal från detta område"
22086                           020 "Avstånd:"
22088                           016 "Linjär"
22089                           021 "Logaritmisk"
22090                           014 "Kl."
22091                           014 "Inget"
22092                           031 "Zooma in tidsskalaaxel"
22093                           030 "Formatera rityta"
22094                           016 "Formatera"
22095                           055 "Storlek på markeringarna måste vara större än noll"
22096                           047 "Huvudintervall måste vara större än noll"
22097                           047 "Hjälpintervall måste vara större än noll"
22098                           024 "Ogiltigt värde"
22099                           029 "Formatera pos.område..."
22100                           017 "Minimum"
22101                           017 "Maximum"
22102                           017 "Optimum"
22103                           018 "Position"
22104                           034 "Formatera titel för värdeområde"
22105                           038 "Formatera titel för värdeområde..."
22106                           027 "Axeletikett för polärdiagr."
22107                           016 "X-axel"
22108                           016 "Y-axel"
22109                           016 "Z-axel"
22110                           014 "Raster"
22111                           019 "Rityta"
22112                           027 "Titel på värdeområde"
22113                           021 "Värdeintervall"
22114                           019 "Negativ stapel"
22115                           017 "Positiv stapel"
22116                           024 "Maximi-minimi-linjer"
22117                           020 "Felstapel"
22118                           022 "Serielinjer"
22119                           020 "Fallinjer"
22120                           017 "Följd:"
22121                           019 "Textur:"
22122                           017 "Etikett:"
22123                           034 "Ändra tårtbitar"
22124                           027 "Skapa trendlinje..."
22125                           030 "Formatera trendlinje..."
22126                           026 "Formatera trendlinje"
22127                           036 "Formatera etik. på trendlinjer..."
22128                           032 "Formatera etik. på trendlinjer"
22129                           020 "Trendlinje"
22130                           025 "Etik. på trendlinjer"
22131                           022 "3D-vy..."
22132                           049 "Rotationen måste ligga mellan 0 och 360 grader"
22133                           048 "Höjden måste ligga mellan -90 och 90"
22134                           052 "Perspektivet måste ligga mellan 0 och 100"
22135                           024 "Rad (Z)-axel:"
22136                           026 "Värde (Y)-axel:"
22138                           022 "Formatera golv"
22139                           026 "Formatera golv..."
22140                           022 "Formatera väggar"
22141                           026 "Formatera väggar"
22142                           015 "Kopiera"
22143                           021 "Mellanrum:"
22144                           025 "Datakälla..."
22145                           025 "Formatera positivt område"
22146                           030 "Spara som &mall..."
22147                           060 "Diagramfiler (*.icc)|*.icc|Alla filer (*.*) | *.* ||"
22148                           026 "Spara som mall"
22149                           089 "Totala storleken på tidsaxeln är för stor och anpassas automatiskt"
22151                           027 "Läs in mall..."
22152                           043 "Värde-(X)-axel skär vid maximum"
22153                           023 "Läs in mall"
22154                           036 "Värde-(X)-axel skär vid:"
22155                           043 "Värde-(Y)-axel skär vid maximum"
22156                           032 "Värde-(Y)-axel skär vid:"
22157                           116 "Antal perioder vid glidande medelvärde måste vara minst 2 och mindre än antalet datapunkter"
22158                           080 "Värdena för bakåt- och framåtprognos måste vara större än noll"
22159                           021 "Etikett polärdiagram"
22160                           032 "Formatera etik. f polärdiag. ..."
22161                           028 "Formatera etikett polärdiag."
22162                           048 "Höjden måste ligga mellan -45 och 45"
22163                           047 "Höjden måste ligga mellan 10 och 90"
22164                           018 "3D-vy"
22165                           051 "Bredden på en dag måste vara större än 0"
22166                           027 "Formatera datatabell"
22167                           031 "Formatera datatabell..."
22168                           020 "Datatabell"
22169                           028 "&axel för kategori (Y)"
22170                           025 "&axel för värde (X)"
22173                           117 "Rubriken, från vilken start sker, får inte vara mindre än 1.\Värdet anpassas"
22174                           113 "Antalet synliga rubriker får inte vara mindre än 1. \Värdet anpassas"
22175                           039 "Lägg till normalfördelning..."
22176                           042 "Formatera normalfördelning..."
22177                           019 "Skriv ut..."
22178                           024 "Förhandsgranska"
22179                           066 "Start- och stoppvärde måste vara olika"
22180                           077 "- 'Ja' för att konvertera alla dataserier till vald diagramtyp"
22181                           054 "- 'Nej' för att behålla aktuell diagramtyp"
22191                           029 "&Histogramklasser"
22192                           032 "Normalfördelning:"
22193                           038 "Etikett på normalfördelning:"
22194                           038 "Formatera normalfördelning"
22195                           044 "Formatera normalfördelningsetikett"
22196                           048 "Formatera normalfördelningsetikett..."
22197                           037 "Formatera aktuell tidslinje..."
22198                           033 "Formatera aktuell tidslinje"
22199                           029 "Lägg till värdeområde..."
22200                           031 "Formatera negativa områden"
22201                           027 "Formatera negativa områden"
22202                           018 "Positiva områden"
22203                           020 "Negativa områden"
22204                           015 "Från:"
22205                           013 "till:"
22206                           022 "Bildstil:"
22207                           032 "Formatera signalområde..."
22208                           028 "Formatera signalområde"
22209                           034 "Formatera pekaretikett..."
22210                           014 "Linje"
22211                           026 "Formatera tabell..."
22212                           022 "Formatera tabell"
22213                           020 "Teckensnitt titel"
22214                           023 "Lägg till tabell..."
22215                           024 "Lägg t. kommandoknapp..."
22216                           027 "Formatera kolumn..."
22217                           023 "Formatera kolumn"
22218                           031 "Kolumnbredden för liten"
22219                           025 "Formatera cell..."
22220                           021 "Formatera cell"
22221                           035 "Formatera pekaretiketter..."
22222                           030 "Formatera pekaretikett"
22223                           031 "Formatera pekaretiketter"
22224                           023 "Formatera kommandoknapp"
22225                           027 "Formatera kommandoknapp..."
22226                           036 "Visa bredder för cirkellinjer"
22228                           127 "Tidsstapeln kan inte genereras - intervallet är för stort. Väljer man Avbryt återställs högsta datum."
22229                           016 "Nivåer"
22230                           014 "Mer"
22231                           031 "Normalfördelning"
22232                           019 "Underrubrik"
22233                           012 "På"
22235                           020 "Teckensnitt titel"
22236                           019 "Teckensnitt celler"
22237                           019 "Cirkeldiagram"
22238                           036 "Formatera axeltitelenhet"
22239                           051 "Ogiltigt talformat"
22240                           092 "Max. 10 värdeområden tillåts! Ytterligare värdeområden tas bort."
22241                           025 "Datakälla..."
22242                           035 "Lägg till normalfördelning"
22400                           107 "Antal enheter för stort p.g.a. aktuella tidsskaleinställningar. Kan ev. minska prestandan."
22401                           054 "Är alla inställningar korrekta?"
22410                           101 "Antal synliga kategorier får inte överskrida antalet befintliga kategorier."
22411                           056 "Värdet justeras därefter"
22420                           132 "Summan av värdena för synliga kategorier och utgångskategorin överskrider antalet kategorier"
22421                           056 "Värdet justeras därefter"
22430                           132 "Diagramtypen kan inte ändras i aktiediagram - ett aktiediagram behöver 3, 4 eller 5 dataserier för en punkt."
22431                           046 "Prova någon av följande lösningar:"
22432                           070 "Välj 'OK' för att allokera aktiediagrammet till alla dataserier."
22433                           092 "Ett aktiediagram genereras bara om tabellen innehåller tillräckligt med dataserier"
22434                           050 "För att stänga meddelandet, välj 'Avbryt'."
22435                           132 "Välj en annan diagramtyp som kan visa en enskild dataserie, t.ex. ett linjediagram."
22460                           065 "2D- och 3D-diagram kan inte kombineras med varandra."
22461                           132 "Ska dataserierna i 2D-diagrammet ändras så att bägge diagrammen kan kombineras i ett 3D-diagram?"
22462                           094 "- 'Ja' för att ändra dataserierna så att de kan kombineras i ett 3D-diagram"
22464                           064 "-'Nej' för att avbryta kombinationen av diagrammen"
22470                           065 "3D- och 2D-diagram kan inte kombineras med varandra."
22471                           132 "Ska dataserierna i 3D-diagrammet ändras så att bägge diagrammen kan kombineras i ett 2D-diagram?"
22472                           091 "- 'Ja' för att ändra dataserierna så att de kan kombineras i ett 2D-diagram"
22474                           064 "-'Nej' för att avbryta kombinationen av diagrammen"
22480                           060 "Diagram kan inte kombineras med andra diagramtyper."
22481                           090 "Ska dataserierna i detta diagram ändras till vald diagramtyp?"
22490                           132 "För att skapa detta aktiediagram - lägg in data i följande ordning: Öppnings-/högsta-/lägsta-/slutkurs."
22491                           050 "Använd data eller aktienamn som etiketter"
22500                           132 "För att skapa detta aktiediagram - lägg in data i följande ordning: Omsatt volym, högsta-/lägsta-/slutkurs."
22501                           050 "Använd data eller aktienamn som etiketter"
22510                           132 "För att skapa detta aktiediagrammet, använd denna ordningsföljd: Omsatt volym, öppnings-/högsta-/lägsta-/slutkurs."
22511                           050 "Använd data eller aktienamn som etiketter"
22550                           015 "Vit"
22551                           015 "Svart"
22552                           013 "Röd"
22553                           016 "Gul"
22554                           015 "Grön"
22555                           014 "Cyanblå"
22556                           014 "Blå"
22557                           017 "Magenta"
22600                           013 "Alla"
22601                           016 "Kunddefinierat"
22602                           016 "Antal"
22603                           021 "Bokföring"
22604                           014 "Datum"
22605                           014 "Kl."
22606                           017 "Procent"
22607                           018 "Bråk"
22608                           017 "Vetenskap"
22609                           014 "Text"
22610                           018 "Valuta"
23000                           013 "Uppe"
23001                           016 "Mitten"
23002                           016 "Nere"
23003                           016 "Fördela"
23010                           014 "Till vänster"
23011                           016 "Mitten"
23012                           015 "Till höger"
23013                           016 "Fördela"
23020                           015 "Över"
23021                           015 "Under"
23022                           020 "Optimal bredd"
23023                           016 "Mitten"
23024                           021 "Inre bas"
23025                           020 "Inre slut"
23026                           014 "Till vänster"
23027                           015 "Olika"
23028                           021 "Yttre slut"
23029                           015 "Till höger"
23030                           031 "Formatera etik. av axlar..."
23031                           032 "Formatera diagramtitel..."
23032                           027 "Formatera etik. av axlar"
23033                           028 "Formatera diagramtitel"
23034                           016 "Linjär"
23035                           021 "Logaritmisk"
23036                           019 "Potentiell"
23037                           021 "Exponentiell"
23038                           024 "Glidande medelvärde"
23039                           019 "Bearbeta text"
23040                           019 "Automatiskt"
23041                           017 "Minimum"
23042                           017 "Maximum"
23043                           016 "Användardefin."
23050                           017 "Staplar"
23051                           014 "LiggStpl"
23052                           015 "Linjer"
23053                           017 "Profil"
23054                           014 "Tårtor"
23055                           022 "XY (sprid)"
23056                           014 "Yta"
23057                           018 "Ring"
23058                           015 "Polär"
23059                           019 "Portfölj:"
23060                           015 "Kurs"
23061                           017 "Ytor"
23062                           018 "Cylinder"
23063                           014 "Kon"
23064                           017 "Pyramid"
23065                           019 "Milstolpe"
23066                           015 "Nivåer"
23067                           019 "Histogram"
23068                           020 "Takometer"
23069                           018 "Kvadrant"
23070                           024 "Staplar m flera färger"
23090                           014 "Data"
23091                           020 "Förklaringssymbol"
24000                           018 "Position"
24001                           015 "Värde"
24002                           017 "Procent"
25100                           018 "3D-vy"
25103                           021 "Analysdjup:"
25107                           023 "Perspektiv:"
25111                           020 "Rotation:"
25113                           023 "Autoskalning"
25114                           027 "Rätvinkliga axlar"
25115                           018 "Höjd:"
25118                           011 "%"
25119                           018 "Standard"
25200                           019 "Justering"
25201                           024 "Textjustering"
25202                           022 "Horisontellt:"
25204                           020 "Vertikalt:"
25206                           020 "Position:"
25208                           021 "Justering"
25300                           014 "Axlar"
25301                           022 "Primäraxel"
25302                           029 "Rubrikaxel (X)"
25303                           026 "Värdeaxel (Y)"
25304                           027 "Serieaxel (Z)"
25305                           024 "Sekundäraxel"
25306                           029 "Rubrikaxel (X)"
25307                           025 "Värdeaxel (Y)"
25400                           019 "Justering"
25401                           021 "Justering"
25500                           014 "Linje"
25501                           014 "Linje"
25502                           020 "Automatiskt"
25503                           016 "Användardefin."
25504                           017 "Typ:"
25506                           017 "Färg:"
25508                           030 "Överordnad markeringstyp"
25509                           015 "Utan"
25510                           016 "Inuti"
25511                           017 "Utanför"
25512                           015 "Tvärs"
25513                           030 "Underordnad markeringstyp"
25514                           015 "Utan"
25515                           016 "Inuti"
25516                           017 "Utanför"
25517                           015 "Tvärs"
25518                           026 "Rubriker på und. mark.typ"
25519                           015 "Utan"
25520                           013 "Ned"
25521                           014 "Hög"
25522                           022 "Invid axel"
25523                           016 "Förhandsgranska"
25600                           014 "Axlar"
25601                           024 "Dataserien gäller"
25602                           023 "Primäraxel"
25603                           025 "Sekundäraxel"
25700                           019 "Felindikator"
25701                           017 "Visa"
25703                           022 "Felbelopp"
25704                           023 "Konstant värde:"
25705                           021 "Procentuellt värde:"
25706                           029 "Standardavvikelse:"
25707                           024 "Standardfel:"
25708                           017 "Justera:"
25711                           011 "%"
25713                           011 "+"
25715                           011 "_"
25800                           019 "Gitterlinjer"
25801                           028 "Rubrikaxel (X)"
25802                           026 "Huvudrutnät"
25803                           026 "Hjälprutnät"
25804                           025 "Värdeaxel (Y)"
25805                           026 "Huvudrutnät"
25806                           026 "Hjälprutnät"
25807                           026 "Serieaxel (Z)"
25808                           026 "Huvudrutnät"
25809                           026 "Hjälprutnät"
25810                           028 "Rubrikaxel (X)"
25811                           026 "Huvudrutnät"
25812                           026 "Hjälprutnät"
25813                           025 "Värdeaxel (Y)"
25814                           026 "Huvudrutnät"
25815                           026 "Hjälprutnät"
25816                           022 "Primäraxel"
25817                           024 "Sekundäraxel"
25900                           014 "Linje"
25901                           020 "Automatiskt"
25902                           017 "Användardef."
25903                           014 "Linje"
25904                           017 "Typ:"
25906                           017 "Färg:"
25908                           016 "Förhandsgranska"
25909                           016 "Stödpunkt"
26000                           021 "Dataetiketter"
26001                           021 "Dataetiketter"
26002                           015 "Ingen"
26003                           020 "Visa värde"
26004                           022 "Visa procent"
26005                           020 "Visa etikett"
26006                           032 "Visa etikett och procent"
26007                           026 "Visa bubbelstorlek"
26009                           030 "Visa etikett och värde"
26010                           029 "Visa X- och Y-värde"
26011                           036 "Visa etikett och bubbelstorlek"
26100                           016 "Förklaring"
26101                           014 "Typ"
26103                           027 "Referensbubblor"
26104                           018 "&Visa"
26105                           024 "Max.storlek:"
26108                           019 "Pos/strl. kan ändr."
26109                           025 "Dold"
26200                           014 "Linje"
26201                           014 "Linje"
26202                           020 "Automatiskt"
26203                           017 "Användardef."
26204                           017 "Typ:"
26206                           017 "Färg:"
26208                           017 "Jämna ut"
26209                           016 "Markering"
26210                           020 "Automatiskt"
26211                           015 "Ingen"
26212                           017 "Användardef."
26213                           017 "Typ:"
26215                           022 "Förgrund:"
26217                           022 "Bakgrund:"
26219                           016 "Storlek"
26222                           016 "Förhandsgranska"
26223                           016 "Topp:"
26226                           016 "Storlek:"
26227                           017 "Tjckl:"
26300                           016 "Värden"
26301                           020 "Kategori:"
26303                           026 "Talformat:"
26305                           016 "Förhandsgranska"
26306                           016 "Statisk"
26307                           025 "Talformat:"
26400                           015 "Form"
26401                           017 "Former:"
26500                           017 "Mall"
26501                           014 "Fyll i"
26502                           020 "Automatiskt"
26503                           016 "Färg"
26504                           018 "Mönster"
26505                           019 "Färgskala"
26506                           018 "Struktur"
26507                           016 "Statisk"
26509                           016 "Statisk"
26511                           016 "Statisk"
26513                           022 "3D-effekter"
26514                           016 "Ram"
26515                           020 "Automatiskt"
26516                           017 "Användardef."
26517                           017 "Typ:"
26519                           017 "Färg:"
26521                           017 "Skuggor"
26522                           016 "Förhandsgranska"
26523                           022 "Transparent"
26525                           018 "Modell:"
26526                           015 "Bild"
26527                           025 "Öppna bild..."
26600                           019 "Trendlinje"
26601                           031 "Trend-/regressionstyp"
26603                           026 "Trendlinjenamn"
26605                           020 "Automatiskt"
26606                           018 "Trend"
26607                           019 "Framåt:"
26610                           020 "Bakåt:"
26613                           019 "Perioder:"
26616                           036 "Presentera formel i diagram"
26700                           015 "Skalning"
26701                           015 "Skalning"
26702                           029 "Skalning rubrikaxel"
26703                           033 "Värdeaxel skär vid:"
