_SAPPCTXT_HEADER_               002 8000 FESEC JA 8000 OK 
SEC_PROGRAM_EXECUTE_NO_NORM     255 "次のプログラムを実行、または次のファイルを表示しようとしています。\n\n%s\n\n警告: 実行されるオブジェクトを特定できません。\n\nこのオブジェクトへのアクセス権を付与しますか。"
SEC_PROGRAM_EXECUTE_W_CMD_LINE  255 "プログラム\n\n%1\n\nを次のコマンド行で実行しようとしています。\n\n%2\n\nこのプログラムを実行する権限を付与しますか。"
SEC_PROGRAM_EXEC_W_CMD_NO_NORM  255 "プログラム\n\n%1\n\nを次のコマンド行で実行しようとしています。\n\n%2\n\n警告: 実行されるオブジェクトを特定できません。\n\nこのプログラムを実行する権限を付与しますか。"
SEC_REG_KEY_CREATE              255 "レジストリキー\n\n%1\n\nを次のレジストリキーに作成しようとしています。\n\n%2\n\n親レジストリキーとそのサブキーを変更する権限を付与しますか。"
SEC_REG_KEY_CREATE_NO_ROOT      255 "次のレジストリキーの作成を試みています。\n\n%s\n\nこれを許可しますか。"
SEC_REG_KEY_DELETE              255 "次のレジストリキーの削除を試みています。\n\n%s\n\nこれを許可しますか。"
SEC_REG_VALUE_SET               255 "レジストリ値\n\n%1\n\nを次のレジストリキーに作成しようとしています。\n\n%2\n\n親レジストリキーに対する変更権限を付与しますか。"
SEC_REG_VALUE_CREATE_NO_ROOT    255 "次のレジストリ値の作成を試みています。\n\n%s\n\nこれを許可しますか。"
SEC_REG_VALUE_ACCESS            255 "次のレジストリ値の変更を試みています。\n\n%s\n\nこのレジストリ値へのアクセス権を付与しますか。"
SEC_REG_VALUE_REPLACE           255 "次のレジストリ値の変更を試みています。\n\n%s\n\nこのレジストリ値へのアクセス権を付与しますか。"
SEC_REG_VALUE_DELETE            255 "次のレジストリ値の削除を試みています。\n\n%s\n\nこのレジストリ値へのアクセス権を付与しますか。"
SEC_ENVIRONMENT_VAR_ACCESS      255 "次の環境変数の取得を試みています。\n\n%s\n\nこれを許可しますか。"
SEC_ENVIRONMENT_VAR_SET         255 "次の環境変数の作成または変更を試みています。\n\n%s\n\nこれを許可しますか。"
SEC_CONTROL_INSTANTIATE         255 "次のコントロールのインスタンス化を試みています。\n\n%s\n\nこれを許可しますか。"
SEC_SCREENSHOT_CREATE           255 "サーバは有効な SAP ウィンドウのスクリーンショットを取得しようとしています。\nこれを許可しますか。"
SEC_CL_LOGON_INTRO_FILE_ALL     255 "SAP ショートカットファイル\n\n%1\n\nを実行しています。SAP ショートカット接続データ:\n\nシステム: %2\nクライアント: %3\nOK コード: %4\n\n"
SEC_CL_LOGON_INTRO_FILE_SCL     255 "SAP ショートカットファイル\n\n%1\n\nを実行しています。SAP ショートカット接続データ:\n\nシステム: %2\nクライアント: %3\n\n"
SEC_CL_LOGON_INTRO_FILE_SID     255 "SAP ショートカットファイル\n\n%1\n\nを実行しています。SAP ショートカット接続データ:\n\nシステム: %2\n\n"
SEC_CL_LOGON_INTRO_FILE_NO      255 "SAP ショートカットファイル\n\n%s\n\nを実行しています。\n\n"
SEC_CL_LOGON_INTRO_CMDLINE_ALL  255 "SAP GUI 接続が次の接続ストリングを使用して開始されました。\n\n%1\n\n接続データ:\n\nシステム: %2\nクライアント: %3\nOK コード: %4\n\n"
SEC_CL_LOGON_INTRO_CMDLINE_SCL  255 "コマンド行で次の接続ストリングを使用して SAP GUI 接続を開始しています。\n\n%1\n\n接続データ:\n\nシステム:%2\nクライアント: %3\n\n"
SEC_CL_LOGON_INTRO_CMDLINE_SID  255 "コマンド行で次の接続ストリングを使用して SAP GUI 接続を開始しています。\n\n%1\n\n接続データ:\n\nシステム:クライアント: %2\n\n"
SEC_CL_LOGON_INTRO_CMDLINE_NO   255 "次の接続ストリングを使用して SAP GUI 接続を開始しています。\n\n%s\n\n"
SEC_CL_LOGON_FAILED_VERI        255 "警告: 指定されたシステムデータを検証できませんでした\n\n"
SEC_CL_LOGON_NO_VERI            255 "警告: システム情報を検証できませんでした\n\n"
SEC_CL_LOGON_FAILED_VERI_LONG   255 "警告: 指定されたシステムデータを検証できませんでした。システムの接続ストリング:\n\n%5\n\n"
SEC_CL_LOGON_NO_VERI_LONG       255 "警告: システム情報を検証できませんでした。システムの接続ストリング:\n\n%5\n\n"
SEC_CL_LOGON_W_OK               255 "指定された OK コードを使用してこのシステムにログオンしますか。"
SEC_CL_LOGON_WO_OK              255 "このシステムにログオンしますか。"
<#001>SEC_OK_BUTTON             020 "OK"
<#001>SEC_HELP_BUTTON           020 "ヘルプ"
<#001>SEC_ACTQRY_ALLOW          100 "許可"
<#001>SEC_ACTQRY_DENY           100 "拒否"
<#001>SEC_ACTQRY_REMEMBER       100 "決定内容の保存"
SEC_ADMIN_RULE_FILE_LOAD_ERR    255 "管理者ルールファイルを指定の場所からロードできませんでした。\nSAP 管理者ルールファイルをフォールバックとして使用します。\nシステム管理者に連絡してください。"
SEC_DEF_ADM_RULE_FILE_LOAD_ERR  255 "管理者ルールファイルを指定の場所からロードできませんでした。\nSAP 管理者ルールファイルは、フォールバックとしても使用できません。\nシステム管理者に連絡してください。"
SEC_ADMIN_RULE_FILE_PARSE_ERR   255 "ロードされた管理者ルールファイルの内容が無効です。\nSAP 管理者ルールファイルをフォールバックとして使用します。\nシステム管理者に連絡してください。"
SEC_NOTIFICATION_TEXT           255 "サーバによってトリガされたアクションがルールに基づいて拒否されました。\n\n前回の通信ステップでトリガされたアクションの一覧を表示しますか。"
SEC_NOTIFICATION_TEXT_CMD_LINE  255 "コマンド行\n\n%s\n\nの実行が拒否されました。"
SEC_NOTIFICATION_TEXT_SHORTCUT  255 "ショートカット\n\n%s\n\nの実行が拒否されました。"
<#002>SEC_YES_BUTTON            020 "はい"
<#002>SEC_NO_BUTTON             020 "いいえ"
SEC_REQVIEW_DIALOG_TITLE        100 "SAP GUI セキュリティ - 要求表示"
SEC_REQVIEW_SRV_ACTIONS_GROUP   050 "サーバアクション"
SEC_REQVIEW_TAB_NONE            030 "なし"
SEC_REQVIEW_DECISION_COLUMN     050 "ユーザ決定"
SEC_REQVIEW_OBJECT_NAME_COLUMN  050 "オブジェクト名"
SEC_REQVIEW_OBJECT_TYPE_COLUMN  050 "オブジェクトタイプ"
SEC_REQVIEW_ACCESS_TYPE_COLUMN  050 "アクセスタイプ"
SEC_REQVIEW_DEC_BASE_COLUMN     050 "決定基準"
SEC_REQVIEW_DEC_ALLOW           050 "許可"
SEC_REQVIEW_DEC_DENY            050 "拒否"
SEC_REQVIEW_OBJ_TYPE_INVALID    050 "無効"
SEC_REQVIEW_OBJ_TYPE_FILE       050 "ファイル"
SEC_REQVIEW_OBJ_TYPE_FILE_EXT   050 "ファイル拡張子"
SEC_REQVIEW_OBJ_TYPE_DIR        050 "ディレクトリ"
SEC_REQVIEW_OBJ_TYPE_REG_KEY    050 "レジストリキー"
SEC_REQVIEW_OBJ_TYPE_REG_VALUE  050 "レジストリ値"
SEC_REQVIEW_OBJ_TYPE_ENV        050 "環境変数"
SEC_REQVIEW_OBJ_TYPE_CONTROL    050 "制御"
SEC_REQVIEW_OBJ_TYPE_CMD_LINE   050 "コマンド行"
SEC_REQVIEW_OBJ_TYPE_SAP_SC     050 "SAP ショートカット"
SEC_REQVIEW_ACC_TYPE_READ       050 "読込"
SEC_REQVIEW_ACC_TYPE_WRITE      050 "書込"
SEC_REQVIEW_ACC_TYPE_EXECUTE    050 "実行"
SEC_REQVIEW_DBASE_UNK           050 "不明"
SEC_REQVIEW_DBASE_SAP_RULE      050 "SAP ルール"
SEC_REQVIEW_DBASE_ADM_RULE      050 "管理者ルール"
SEC_REQVIEW_DBASE_USR_RULE      050 "ユーザルール"
SEC_REQVIEW_DBASE_DEFSAP_RULE   050 "SAP デフォルトルール"
SEC_REQVIEW_DBASE_DEFADM_RULE   050 "管理者デフォルトルール"
SEC_REQVIEW_DBASE_DEFUSR_RULE   050 "ユーザデフォルトルール"
SEC_REQVIEW_DBASE_USER_ACTION   050 "ユーザアクション"
SEC_REQVIEW_DBASE_DEF_ACTION    050 "デフォルトアクション"
<#003>SEC_REQVIEW_DETAILS_BTN   020 "詳細..."
<#003>SEC_REQVIEW_SAVE_BUTTON   020 "保存"
<#003>SEC_REQVIEW_CLOSE_BUTTON  020 "閉じる"
<#003>SEC_REQVIEW_HELP_BUTTON   020 "ヘルプ"
SEC_REQDET_DIALOG_TITLE         100 "SAP GUI セキュリティ - 要求詳細"
<#004>SEC_REQDET_SAVE_BUTTON    020 "保存"
<#004>SEC_REQDET_CLOSE_BUTTON   020 "閉じる"
SEC_UI_MSG_TEXT_SPLIT_CNN_STR   255 "接続文字列 %s を分割できません。"
